address,status,borough,longitude,latitude,spc_common,spc_latin
40-042 GLEANE ST,Fair,Queens,-73.881397,40.74722,"ash, green",fraxinus pennsylvanica
18 W 33 ST,Good,Manhattan,-73.985578,40.748009,"zelkova, japanese",zelkova serrata
1721 AV O,Poor,Brooklyn,-73.956981,40.613188,planting site,planting site
40-015 31 AV,Good,Queens,-73.916968,40.761263,honeylocust,gleditsia triacanthos
88-005 WOODHAVEN BLVD,Fair,Queens,-73.851436,40.692294,"oak, pin",quercus palustris
221-006 131 AV,Poor,Queens,-73.74624,40.682124,"maple, red",acer rubrum
2901 ALBEMARLE RD,Fair,Brooklyn,-73.950244,40.648104,"oak, pin",quercus palustris
525 PARK AV,Good,Manhattan,-73.96907,40.763914,"pear, callery",pyrus calleryana
122 RADIGAN AV,Good,Staten Island,-74.217197,40.544017,"maple, silver",acer saccharinum
1706 Avenue T,Fair,Brooklyn,-73.954871,40.601304,"maple, silver",acer saccharinum
134-036 176 ST,Good,Queens,-73.76561,40.674434,"maple, norway",acer platanoides
62-002 MOUNT OLIVER CRES,Fair,Queens,-73.896256,40.714775,london planetree,platanus acerifolia
407 W 44 ST,Poor,Manhattan,-73.991894,40.759819,london planetree,platanus acerifolia
465 E 18 ST,Poor,Brooklyn,-73.961232,40.639719,"pear, callery",pyrus calleryana
103-017 35 AV,Fair,Queens,-73.864978,40.754736,"linden, little leaf",tilia cordata
82-046 PETTIT PL,Good,Queens,-73.882897,40.744805,"maple, norway",acer platanoides
375 PARK AV,Good,Manhattan,-73.972797,40.758807,"elm, american",ulmus americana
3349 PERRY AV,Good,Bronx,-73.874567,40.878481,japanese pagoda tree,sophora japonica
1280 E 100 ST,Fair,Brooklyn,-73.891393,40.638934,london planetree,platanus acerifolia
97-010 69 AV,Fair,Queens,-73.851776,40.717524,"maple, sugar",acer saccharum
150-015 78 RD,Fair,Queens,-73.813409,40.720724,"oak, pin",quercus palustris
384 VINELAND AV,Fair,Staten Island,-74.190977,40.544965,"pear, callery",pyrus calleryana
836 E 147 ST,Fair,Bronx,-73.905934,40.810636,"pear, callery",pyrus calleryana
101-010 157 AV,Fair,Queens,-73.833167,40.663597,"maple, norway",acer platanoides
48-033 188 ST,Fair,Queens,-73.790129,40.748102,"linden, little leaf",tilia cordata
243-011 ALAMEDA AV,Poor,Queens,-73.742115,40.764277,"maple, norway",acer platanoides
125 BUTLER ST,Good,Brooklyn,-73.990244,40.683417,"ash, green",fraxinus pennsylvanica
5730 AMBOY RD,Good,Staten Island,-74.199744,40.527918,"ash, green",fraxinus pennsylvanica
2424 BOSTON RD,Fair,Bronx,-73.866594,40.861617,london planetree,platanus acerifolia
8101 10 AV,Fair,Brooklyn,-74.01758,40.62089,"pine, other",pinus species
3239 CLEARVIEW EXWY,Poor,Queens,-73.790574,40.787987,"maple, norway",acer platanoides
76 HART BLVD,Fair,Staten Island,-74.100686,40.633744,london planetree,platanus acerifolia
1409 LELAND AV,Poor,Bronx,-73.864152,40.835658,"maple, sugar",acer saccharum
60-012 56 AV,Fair,Queens,-73.90592,40.725187,"maple, norway",acer platanoides
107-041 111 ST,Fair,Queens,-73.829586,40.681584,"ash, green",fraxinus pennsylvanica
1036 PARK AV,Fair,Manhattan,-73.957253,40.780108,"linden, little leaf",tilia cordata
112-014 107 AV,Fair,Queens,-73.828971,40.682761,"maple, norway",acer platanoides
121-065 235 ST,Fair,Queens,-73.731015,40.683286,"ash, green",fraxinus pennsylvanica
88 E 39 ST,Poor,Brooklyn,-73.941409,40.655446,"maple, norway",acer platanoides
790 11 AV,Fair,Manhattan,-73.992467,40.768844,honeylocust,gleditsia triacanthos
163 RYE AV,Good,Staten Island,-74.174704,40.546345,"oak, northern red",quercus rubra
257-017 149 AV,Good,Queens,-73.731639,40.652922,ginkgo,ginkgo biloba
61-012 231 ST,Fair,Queens,-73.747431,40.750942,"oak, northern red",quercus rubra
96 CRANFORD ST,Fair,Staten Island,-74.138888,40.55167,"linden, little leaf",tilia cordata
140-035 BURDEN CRES,Fair,Queens,-73.815875,40.711291,"oak, pin",quercus palustris
934 CALHOUN AV,Good,Bronx,-73.827411,40.829313,"maple, sugar",acer saccharum
219-007 130 DR,Fair,Queens,-73.748027,40.683481,"maple, sugar",acer saccharum
141-020 GRAND CENTRAL PKWY,Fair,Queens,-73.817094,40.715675,"maple, norway",acer platanoides
225-028 111 AV,Fair,Queens,-73.731307,40.706029,"maple, silver",acer saccharinum
248 W 137 ST,Good,Manhattan,-73.944149,40.817188,honeylocust,gleditsia triacanthos
210 BIDWELL AV,Fair,Staten Island,-74.136814,40.618754,london planetree,platanus acerifolia
506 W 177 ST,Fair,Manhattan,-73.932995,40.845633,"pear, callery",pyrus calleryana
479 E 29 ST,Fair,Brooklyn,-73.94928,40.638987,london planetree,platanus acerifolia
20 BARLOW AV,Good,Staten Island,-74.14847,40.561681,sweetgum,liquidambar styraciflua
34-041 77 ST,Fair,Queens,-73.889539,40.752444,"linden, little leaf",tilia cordata
207 E 59 ST,Poor,Brooklyn,-73.921421,40.649089,"maple, silver",acer saccharinum
305 E 55 ST,Fair,Manhattan,-73.96611,40.757953,honeylocust,gleditsia triacanthos
990 SHEFFIELD AV,Fair,Brooklyn,-73.887921,40.653482,london planetree,platanus acerifolia
262 SANILAC ST,Good,Staten Island,-74.102038,40.575021,"maple, norway",acer platanoides
103-055 100 ST,Fair,Queens,-73.840685,40.68217,tree of heaven,ailanthus altissima
23 ELKHART ST,Good,Staten Island,-74.151588,40.564483,honeylocust,gleditsia triacanthos
1037 WILLOW BROOK RD,Poor,Staten Island,-74.138575,40.603207,planting site,planting site
157-004 27 AV,Fair,Queens,-73.806827,40.772981,"pear, callery",pyrus calleryana
61-027 59 DR,Fair,Queens,-73.90283,40.717919,london planetree,platanus acerifolia
1755 UTICA AV,Fair,Brooklyn,-73.928006,40.629484,london planetree,platanus acerifolia
110-020 15 AV,Poor,Queens,-73.856368,40.783822,planting site,planting site
157-058 24 AV,Good,Queens,-73.804843,40.776411,"cherry, cornelian",cornus mas
1643 AMSTERDAM AV,Good,Manhattan,-73.949336,40.822864,honeylocust,gleditsia triacanthos
1343 E 89 ST,Poor,Brooklyn,-73.898663,40.632482,"maple, norway",acer platanoides
144-021 LIBERTY AV,Poor,Queens,-73.808712,40.69272,"pear, callery",pyrus calleryana
1471 43 ST,Fair,Brooklyn,-73.984863,40.636115,"linden, little leaf",tilia cordata
160-018 12 AV,Fair,Queens,-73.801493,40.791125,"maple, norway",acer platanoides
33 LEE AV,Fair,Brooklyn,-73.961107,40.706768,london planetree,platanus acerifolia
169-012 65 AV,Good,Queens,-73.800002,40.736593,honeylocust,gleditsia triacanthos
89 6 AV,Fair,Brooklyn,-73.975191,40.679518,"oak, pin",quercus palustris
1188 GRAND CONCOURSE,Fair,Bronx,-73.918509,40.833674,"pear, callery",pyrus calleryana
199-001 116 AV,Poor,Queens,-73.753746,40.695723,"maple, norway",acer platanoides
610 E 133 ST,Poor,Bronx,-73.918376,40.802988,"maple, sugar",acer saccharum
21 HILLSIDE AV,Fair,Staten Island,-74.093357,40.617515,"maple, red",acer rubrum
4112 FT HAMILTON PKWY,Poor,Brooklyn,-73.992024,40.642141,honeylocust,gleditsia triacanthos
80-067 249 ST,Fair,Queens,-73.72064,40.741433,"maple, norway",acer platanoides
84-009 TALBOT ST,Poor,Queens,-73.827643,40.708606,"maple, norway",acer platanoides
2 PIERREPONT ST,Fair,Brooklyn,-73.997062,40.696351,"maple, sugar",acer saccharum
154-001 71 AV,Good,Queens,-73.815003,40.730165,"pear, callery",pyrus calleryana
1801 TOMLINSON AV,Fair,Bronx,-73.852266,40.849939,"maple, red",acer rubrum
253-019 57 AV,Fair,Queens,-73.727191,40.762283,london planetree,platanus acerifolia
194-019 56 AV,Poor,Queens,-73.783623,40.745477,"maple, norway",acer platanoides
243 SHARROTT AV,Fair,Staten Island,-74.212478,40.517512,"pear, callery",pyrus calleryana
140 B 94 ST,Poor,Queens,-73.87647,40.771551,planting site,planting site
876 TROY AV,Fair,Brooklyn,-73.936201,40.651704,"linden, little leaf",tilia cordata
1701 BATHGATE AV,Fair,Bronx,-73.899792,40.841931,honeylocust,gleditsia triacanthos
455 E 19 ST,Fair,Brooklyn,-73.960276,40.639751,tulip tree,liriodendron tulipifera
80 BYRNE AV,Good,Staten Island,-74.134155,40.612952,"oak, pin",quercus palustris
58-009 QUEENS BLVD,Fair,Queens,-73.907394,40.741849,london planetree,platanus acerifolia
180 E 93 ST,Good,Manhattan,-73.951281,40.78349,london planetree,platanus acerifolia
63 PILOT ST,Fair,Bronx,-73.785989,40.840953,"ash, green",fraxinus pennsylvanica
191 RAMONA AV,Good,Staten Island,-74.192098,40.540088,sweetgum,liquidambar styraciflua
711 E 82 ST,Fair,Brooklyn,-73.913353,40.637868,"maple, red",acer rubrum
120-002 235 ST,Fair,Queens,-73.729633,40.686191,"maple, norway",acer platanoides
747 BLOOMINGDALE RD,Fair,Staten Island,-74.218851,40.543995,"pear, callery",pyrus calleryana
131-050 134 ST,Fair,Queens,-73.804642,40.669728,london planetree,platanus acerifolia
123-041 146 ST,Fair,Queens,-73.791968,40.674689,"maple, norway",acer platanoides
44 MARX ST,Fair,Staten Island,-74.110023,40.61304,"maple, silver",acer saccharinum
540 PROSPECT PL,Poor,Brooklyn,-73.959084,40.675646,planting site,planting site
60 WINCHESTER AV,Fair,Staten Island,-74.151134,40.534592,japanese pagoda tree,sophora japonica
150 WINTHROP ST,Good,Brooklyn,-73.955132,40.656794,"maple, sugar",acer saccharum
57-061 58 PL,Fair,Queens,-73.910594,40.721538,london planetree,platanus acerifolia
1023 ROCKLAND AV,Good,Staten Island,-74.15126,40.590337,"ash, green",fraxinus pennsylvanica
454 RICHARD AV,Fair,Staten Island,-74.223788,40.506859,"maple, red",acer rubrum
400 W 119 ST,Fair,Manhattan,-73.957975,40.808065,"elm, american",ulmus americana
451 E 18 ST,Fair,Brooklyn,-73.961305,40.640105,"maple, norway",acer platanoides
2310 VANCE ST,Good,Bronx,-73.83114,40.859505,"maple, red",acer rubrum
206 W 104 ST,Fair,Manhattan,-73.966936,40.799247,japanese pagoda tree,sophora japonica
429 E 52 ST,Good,Manhattan,-73.964373,40.754759,"pear, callery",pyrus calleryana
120-026 235 ST,Fair,Queens,-73.729836,40.685797,"oak, pin",quercus palustris
1370 70 ST,Fair,Brooklyn,-74.00292,40.622203,"cedar, deodar",cedrus deodara
175 GUYON AV,Good,Staten Island,-74.124495,40.563078,"oak, english",quercus robur
53-034 194 ST,Fair,Queens,-73.784286,40.746467,"maple, red",acer rubrum
955 RENSSELAER AV,Good,Staten Island,-74.206444,40.537613,"maple, silver",acer saccharinum
1655 PUTNAM AV,Fair,Queens,-73.907558,40.699363,"ash, green",fraxinus pennsylvanica
1363 65 ST,Fair,Brooklyn,-74.000136,40.625148,london planetree,platanus acerifolia
82-020 LANGDALE ST,Fair,Queens,-73.70096,40.742622,ginkgo,ginkgo biloba
59-040 MADISON ST,Fair,Queens,-73.901684,40.706062,"maple, sugar",acer saccharum
731 METROPOLITAN AV,Fair,Staten Island,-74.102638,40.625095,"oak, pin",quercus palustris
520 JAMAICA AV,Good,Brooklyn,-73.884128,40.684467,london planetree,platanus acerifolia
106-022 160 ST,Fair,Queens,-73.795426,40.698612,london planetree,platanus acerifolia
306 E MOSHOLU PKWY S,Fair,Bronx,-73.882385,40.871825,"linden, little leaf",tilia cordata
17-001 MURRAY ST,Good,Queens,-73.811679,40.784026,"maple, silver",acer saccharinum
290 W 232 ST,Poor,Bronx,-73.906918,40.881783,london planetree,platanus acerifolia
78 DREYER AV,Poor,Staten Island,-74.151514,40.607439,planting site,planting site
94-019 149 AV,Fair,Queens,-73.841539,40.670786,"maple, norway",acer platanoides
91 SAND ST,Fair,Staten Island,-74.070901,40.597276,"oak, pin",quercus palustris
70-016 72 ST,Fair,Queens,-73.879897,40.706152,"maple, red",acer rubrum
20 RIDGECREST AV,Fair,Staten Island,-74.153929,40.535158,"maple, norway",acer platanoides
8 ALCOTT ST,Fair,Staten Island,-74.200881,40.552757,"ash, green",fraxinus pennsylvanica
115-033 143 ST,Fair,Queens,-73.799632,40.682019,"maple, sycamore",acer pseudoplatanus
1160 E 213 ST,Fair,Bronx,-73.852532,40.875576,"oak, pin",quercus palustris
77-031 270 ST,Fair,Queens,-73.704464,40.751669,"maple, red",acer rubrum
30-031 PARSONS BLVD,Good,Queens,-73.824662,40.770093,"oak, pin",quercus palustris
78-041 64 PL,Good,Queens,-73.890561,40.696742,"maple, sugar",acer saccharum
108 E 66 ST,Fair,Manhattan,-73.966134,40.767091,"pear, callery",pyrus calleryana
224 KINGHORN ST,Fair,Staten Island,-74.165032,40.530126,"maple, norway",acer platanoides
2875 BROADWAY,Fair,Manhattan,-73.96587,40.80531,tree of heaven,ailanthus altissima
30-026 36 ST,Good,Queens,-73.917959,40.764321,"ash, green",fraxinus pennsylvanica
964 SCHENCK AV,Fair,Brooklyn,-73.880795,40.656925,"maple, silver",acer saccharinum
310 MARLBOROUGH RD,Fair,Brooklyn,-73.964681,40.642552,london planetree,platanus acerifolia
143 W 87 ST,Good,Manhattan,-73.972906,40.787678,london planetree,platanus acerifolia
1829 E 19 ST,Fair,Brooklyn,-73.953796,40.605536,"maple, norway",acer platanoides
1888 E 51 ST,Poor,Brooklyn,-73.925352,40.614133,"maple, red",acer rubrum
87-018 86 ST,Fair,Queens,-73.858052,40.692302,"maple, silver",acer saccharinum
937 SHELDEN AV,Fair,Staten Island,-74.206579,40.538342,"maple, norway",acer platanoides
253 RAMONA AV,Good,Staten Island,-74.194232,40.539513,"maple, red",acer rubrum
250 BARCLAY AV,Fair,Staten Island,-74.173408,40.536718,"pear, callery",pyrus calleryana
183 WESTWOOD AV,Poor,Staten Island,-74.11729,40.606751,"maple, norway",acer platanoides
169 MOFFAT ST,Fair,Brooklyn,-73.906557,40.687391,honeylocust,gleditsia triacanthos
125 97 ST,Good,Brooklyn,-74.037051,40.61538,london planetree,platanus acerifolia
23 MAPLE PKWY,Fair,Staten Island,-74.156361,40.6331,"oak, pin",quercus palustris
937 56 ST,Fair,Brooklyn,-74.00414,40.635903,"maple, norway",acer platanoides
65-001 ADMIRAL AV,Fair,Queens,-73.895929,40.711526,london planetree,platanus acerifolia
172 IRVING AV,Fair,Brooklyn,-73.919646,40.702015,honeylocust,gleditsia triacanthos
90 DOVER ST,Fair,Brooklyn,-73.949654,40.579907,london planetree,platanus acerifolia
231-012 128 RD,Fair,Queens,-73.734819,40.682737,"maple, norway",acer platanoides
81-043 261 ST,Fair,Queens,-73.709224,40.742399,"maple, red",acer rubrum
3000 RICHMOND AV,Fair,Staten Island,-74.169591,40.578121,"zelkova, japanese",zelkova serrata
15 POMPEY AV,Fair,Staten Island,-74.173248,40.556057,"pear, callery",pyrus calleryana
40-016 VERNON BLVD,Fair,Queens,-73.946064,40.75757,london planetree,platanus acerifolia
1 CARTERET ST,Fair,Staten Island,-74.24847,40.508581,london planetree,platanus acerifolia
252 SEGUINE AV,Good,Staten Island,-74.197549,40.520393,"maple, red",acer rubrum
149-044 6 AV,Fair,Queens,-73.817684,40.795196,"ash, green",fraxinus pennsylvanica
4174 EDSON AV,Fair,Bronx,-73.845262,40.894595,"pine, other",pinus species
1419 58 ST,Fair,Brooklyn,-73.994736,40.628397,"maple, norway",acer platanoides
585 SCHNECTADY AV,Fair,Brooklyn,-73.934122,40.65934,london planetree,platanus acerifolia
312 FT WASHINGTON AV,Fair,Manhattan,-73.940425,40.845599,"elm, american",ulmus americana
190 NORFOLK ST,Fair,Manhattan,-73.985525,40.721968,ginkgo,ginkgo biloba
25-066 99 ST,Poor,Queens,-73.870556,40.763035,london planetree,platanus acerifolia
1150 E 29 ST,Fair,Brooklyn,-73.94719,40.623058,"oak, pin",quercus palustris
94 CHESTER AV,Fair,Staten Island,-74.182215,40.521448,"maple, red",acer rubrum
39-015 21 ST,Fair,Queens,-73.940223,40.756294,honeylocust,gleditsia triacanthos
425 W 48 ST,Fair,Manhattan,-73.99058,40.762538,"pear, callery",pyrus calleryana
71-012 165 ST,Fair,Queens,-73.804137,40.730219,london planetree,platanus acerifolia
186-046 RADNOR RD,Fair,Queens,-73.779505,40.723633,"maple, norway",acer platanoides
188 WASHINGTON AV,Good,Brooklyn,-73.966815,40.693009,"linden, little leaf",tilia cordata
302 W 51 ST,Fair,Manhattan,-73.985745,40.762957,honeylocust,gleditsia triacanthos
3 CRANFORD ST,Fair,Staten Island,-74.141098,40.553499,"maple, red",acer rubrum
18 HERRICK AV,Good,Staten Island,-74.218338,40.530748,"pear, callery",pyrus calleryana
216 E 7 ST,Fair,Manhattan,-73.979517,40.72436,apple,malus pumila
4119 Avenue D,Poor,Brooklyn,-73.937824,40.641614,"elm, american",ulmus americana
960 FRANKLIN ST,Poor,Brooklyn,-73.959848,40.665469,planting site,planting site
758 MAGENTA ST,Good,Bronx,-73.864566,40.874901,"pear, callery",pyrus calleryana
1631 44 ST,Fair,Brooklyn,-73.981832,40.633375,london planetree,platanus acerifolia
155-012 115 AV,Fair,Queens,-73.790748,40.685707,london planetree,platanus acerifolia
221 W 82 ST,Good,Manhattan,-73.977761,40.78546,"cherry, cornelian",cornus mas
92 PARK ST,Good,Staten Island,-74.12877,40.569847,london planetree,platanus acerifolia
60 PENN ST,Fair,Brooklyn,-73.96047,40.700809,"oak, pin",quercus palustris
635 PARK AV,Good,Manhattan,-73.966712,40.767147,"pear, callery",pyrus calleryana
2433 E 16 ST,Fair,Brooklyn,-73.95401,40.591458,london planetree,platanus acerifolia
240-032 CANEY RD,Fair,Queens,-73.74115,40.66195,"oak, pin",quercus palustris
3701 FOSTER AV,Poor,Brooklyn,-73.941518,40.639026,"maple, norway",acer platanoides
32-025 90 ST,Fair,Queens,-73.878219,40.757927,"oak, pin",quercus palustris
490 STEUBEN ST,Good,Staten Island,-74.077328,40.602984,"maple, norway",acer platanoides
13 COLLEGE PT BLVD,Fair,Queens,-73.845672,40.787593,"oak, pin",quercus palustris
136 HICKS ST,Fair,Brooklyn,-73.994791,40.697499,honeylocust,gleditsia triacanthos
49 W FORDHAM RD,Fair,Bronx,-73.903206,40.862659,ginkgo,ginkgo biloba
56 BARROW ST,Fair,Manhattan,-74.00499,40.731868,honeylocust,gleditsia triacanthos
10-035 BAY 31 ST,Fair,Queens,-73.767042,40.601488,"maple, norway",acer platanoides
3136 ARNOW PL,Fair,Bronx,-73.828785,40.850241,"maple, sugar",acer saccharum
2895 BROADWAY,Fair,Manhattan,-73.965413,40.805936,"ash, green",fraxinus pennsylvanica
180-044 KILDARE RD,Fair,Queens,-73.786155,40.725186,london planetree,platanus acerifolia
9321 CHURCH AV,Fair,Brooklyn,-73.917468,40.654385,london planetree,platanus acerifolia
82-011 251 ST,Fair,Queens,-73.717884,40.739189,"linden, little leaf",tilia cordata
147-026 25 DR,Fair,Queens,-73.819404,40.775262,london planetree,platanus acerifolia
782 HOWARD AV,Fair,Brooklyn,-73.918734,40.66282,london planetree,platanus acerifolia
1044 E 19 ST,Fair,Brooklyn,-73.957505,40.625118,"cherry, black",prunus serotina
463 B 127 ST,Fair,Queens,-73.824443,40.704066,london planetree,platanus acerifolia
146-059 HUXLEY ST,Poor,Queens,-73.742309,40.658423,planting site,planting site
525 W 141 ST,Fair,Manhattan,-73.950733,40.82322,ginkgo,ginkgo biloba
472 DECATUR AV,Good,Staten Island,-74.145181,40.609017,london planetree,platanus acerifolia
209-021 26 AV,Good,Queens,-73.782272,40.776823,honeylocust,gleditsia triacanthos
967 44 ST,Poor,Brooklyn,-73.996543,40.642257,"maple, norway",acer platanoides
43 LEEDS ST,Good,Staten Island,-74.123623,40.563897,sweetgum,liquidambar styraciflua
260-037 75 AV,Fair,Queens,-73.71315,40.748947,london planetree,platanus acerifolia
950 50 ST,Fair,Brooklyn,-74.000384,40.639107,london planetree,platanus acerifolia
651 DEGRAW ST,Fair,Brooklyn,-73.981484,40.678413,london planetree,platanus acerifolia
85-015 94 ST,Fair,Queens,-73.851604,40.696556,"linden, little leaf",tilia cordata
78-029 160 ST,Good,Queens,-73.807772,40.721822,"zelkova, japanese",zelkova serrata
89-026 218 ST,Fair,Queens,-73.745404,40.727084,"pear, callery",pyrus calleryana
119-020 12 AV,Fair,Queens,-73.848572,40.78763,"maple, norway",acer platanoides
2400 WASHINGTON AV,Good,Bronx,-73.890987,40.857753,japanese pagoda tree,sophora japonica
610 E 133 ST,Fair,Bronx,-73.918376,40.802988,"maple, silver",acer saccharinum
132 STERLING PL,Fair,Brooklyn,-73.973943,40.677179,"zelkova, japanese",zelkova serrata
433 E 56 ST,Fair,Manhattan,-73.962662,40.757323,honeylocust,gleditsia triacanthos
44 E SCRANTON AV,Good,Staten Island,-74.159113,40.554609,london planetree,platanus acerifolia
248-020 89 AV,Fair,Queens,-73.71808,40.726907,"maple, sycamore",acer pseudoplatanus
1527 56 ST,Fair,Brooklyn,-73.991191,40.628084,"pear, callery",pyrus calleryana
1133 FIFTH AV,Good,Manhattan,-73.956489,40.786912,ginkgo,ginkgo biloba
45-075 165 ST,Fair,Queens,-73.801612,40.754276,"oak, pin",quercus palustris
80-004 266 ST,Fair,Queens,-73.70559,40.745936,"oak, pin",quercus palustris
295 WADSWORTH AV,Fair,Manhattan,-73.93183,40.854127,honeylocust,gleditsia triacanthos
1633 ARDEN AV,Fair,Staten Island,-74.162964,40.531566,sweetgum,liquidambar styraciflua
32 MONROE PL,Good,Staten Island,-74.127095,40.599748,london planetree,platanus acerifolia
88-037 247 ST,Poor,Queens,-73.721004,40.728239,"maple, norway",acer platanoides
3155 SANDS PL,Fair,Bronx,-73.827543,40.851162,"maple, silver",acer saccharinum
185-059 80 RD,Fair,Queens,-73.781773,40.728105,london planetree,platanus acerifolia
4207 CLARENDON RD,Fair,Brooklyn,-73.937208,40.643954,london planetree,platanus acerifolia
219 RAMONA AV,Fair,Staten Island,-74.193104,40.539811,sweetgum,liquidambar styraciflua
126 FRANKLIN ST,Good,Manhattan,-74.006465,40.71907,apple,malus pumila
130-050 228 ST,Poor,Queens,-73.739709,40.681191,"maple, silver",acer saccharinum
450 RICHMOND HILL RD,Fair,Staten Island,-74.154845,40.58185,tree of heaven,ailanthus altissima
214-013 40 AV,Fair,Queens,-73.770099,40.764466,"pear, callery",pyrus calleryana
83-042 246 LA,Fair,Queens,-73.721436,40.735628,"maple, norway",acer platanoides
2336 KNAPP ST,Fair,Brooklyn,-73.933247,40.595891,"maple, norway",acer platanoides
524 SHORE BLVD,Good,Brooklyn,-73.949817,40.582047,london planetree,platanus acerifolia
43-021 189 ST,Fair,Queens,-73.791934,40.757143,"maple, norway",acer platanoides
30-028 23 ST,Fair,Queens,-73.926968,40.768666,london planetree,platanus acerifolia
414 HAWTHORNE AV,Fair,Staten Island,-74.149436,40.607208,"maple, sugar",acer saccharum
84 CENTRAL PARK WEST,Good,Manhattan,-73.977597,40.773968,"oak, pin",quercus palustris
82-017 251 ST,Good,Queens,-73.717839,40.739068,"linden, little leaf",tilia cordata
1292 WARING AV,Fair,Bronx,-73.849485,40.861013,"maple, norway",acer platanoides
91-027 211 ST,Fair,Queens,-73.751202,40.718747,"maple, norway",acer platanoides
160 W 16 ST,Good,Manhattan,-73.997602,40.739413,honeylocust,gleditsia triacanthos
66-008 FOREST AV,Good,Queens,-73.903481,40.707419,"maple, sugar",acer saccharum
25-059 85 ST,Good,Queens,-73.883744,40.762265,"ash, green",fraxinus pennsylvanica
449 BLOOMINGDALE RD,Fair,Staten Island,-74.218277,40.535553,"pear, callery",pyrus calleryana
80-029 248 ST,Fair,Queens,-73.7218,40.741857,london planetree,platanus acerifolia
350 HANCOCK ST,Poor,Brooklyn,-73.941932,40.683466,"hawthorn, washington",crataegus phaenopyrum
6701 RIDGE BLVD,Fair,Brooklyn,-74.027631,40.638794,"maple, norway",acer platanoides
68-003 147 ST,Fair,Queens,-73.822443,40.733673,"maple, sugar",acer saccharum
138-010 82 AV,Good,Queens,-73.820888,40.714819,"maple, norway",acer platanoides
1150 GRAND CONCOURSE,Fair,Bronx,-73.91893,40.833201,"pear, callery",pyrus calleryana
2902 BRONXWOOD AV,Fair,Bronx,-73.861497,40.867844,"oak, northern red",quercus rubra
145 HICKS ST,Fair,Brooklyn,-73.994912,40.697246,honeylocust,gleditsia triacanthos
85-034 167 ST,Fair,Queens,-73.796981,40.71256,"maple, norway",acer platanoides
14 GUILFORD ST,Good,Staten Island,-74.062607,40.596603,"maple, norway",acer platanoides
2 WELLES CT,Fair,Staten Island,-74.103395,40.629402,"maple, silver",acer saccharinum
284 DYCKMAN ST,Good,Manhattan,-73.929223,40.867159,ginkgo,ginkgo biloba
574 HOWARD AV,Poor,Brooklyn,-73.920093,40.668102,planting site,planting site
8 COOPER RD,Fair,Manhattan,-73.92521,40.867242,london planetree,platanus acerifolia
203 CARLTON AV,Good,Brooklyn,-73.972537,40.691589,"linden, little leaf",tilia cordata
210 KIRBY ST,Fair,Bronx,-73.785628,40.850741,"maple, sugar",acer saccharum
101-003 97 AV,Fair,Queens,-73.842413,40.687207,"ash, green",fraxinus pennsylvanica
170 RAMAPO AV,Good,Staten Island,-74.207788,40.540288,"maple, silver",acer saccharinum
301 LEFFERTS AV,Good,Brooklyn,-73.951311,40.662322,ginkgo,ginkgo biloba
1921 E 21 ST,Fair,Brooklyn,-73.951581,40.605878,"maple, norway",acer platanoides
4650 FIELDSTON RD,Poor,Bronx,-73.904868,40.89452,horsechestnut,aesculus hippocastanum
136 E 59 ST,Good,Manhattan,-73.968163,40.762216,"pear, callery",pyrus calleryana
156 LANGHAM ST,Good,Brooklyn,-73.940963,40.579362,london planetree,platanus acerifolia
140-020 184 ST,Fair,Queens,-73.760143,40.67185,"pear, callery",pyrus calleryana
3256 RADIO DR,Fair,Bronx,-73.818955,40.843693,"maple, silver",acer saccharinum
340 STEWART AV,Fair,Staten Island,-74.14527,40.615833,"pear, callery",pyrus calleryana
536 83 ST,Poor,Brooklyn,-74.024171,40.623066,"oak, pin",quercus palustris
29-010 14 ST,Fair,Queens,-73.929455,40.771415,honeylocust,gleditsia triacanthos
147-079 HOOVER AV,Fair,Queens,-73.810764,40.714277,"maple, norway",acer platanoides
163-036 85 ST,Poor,Queens,-73.84555,40.651004,planting site,planting site
36-031 32 ST,Poor,Queens,-73.929374,40.755693,"maple, norway",acer platanoides
60-016 82 ST,Fair,Queens,-73.878187,40.726545,"oak, pin",quercus palustris
550 E 239 ST,Fair,Bronx,-73.857071,40.901809,japanese pagoda tree,sophora japonica
2160 ANTHONY AV,Fair,Bronx,-73.901241,40.854498,"maple, red",acer rubrum
221-007 EDMORE AV,Fair,Queens,-73.735744,40.724102,"maple, norway",acer platanoides
623 HOWARD AV,Fair,Brooklyn,-73.919745,40.666914,honeylocust,gleditsia triacanthos
42-012 195 ST,Poor,Queens,-73.786903,40.759437,"maple, norway",acer platanoides
3716 PRATT AV,Good,Bronx,-73.834686,40.887389,"cherry, cornelian",cornus mas
33 MAYBURY CT,Fair,Staten Island,-74.135512,40.552632,"pear, callery",pyrus calleryana
82-061 257 ST,Fair,Queens,-73.711996,40.739361,"maple, norway",acer platanoides
34-022 35 ST,Good,Queens,-73.924344,40.757817,"elm, chinese",ulmus parvifolia
228 CITY BLVD,Fair,Staten Island,-74.103721,40.624611,sassafras,sassafras albidum
153 ST NICHOLAS AV,Fair,Brooklyn,-73.916889,40.704719,"maple, red",acer rubrum
116-004 INWOOD ST,Fair,Queens,-73.796349,40.681517,london planetree,platanus acerifolia
163-019 83 ST,Fair,Queens,-73.847537,40.651073,"maple, norway",acer platanoides
14 BASSETT AV,Fair,Brooklyn,-73.906637,40.609604,london planetree,platanus acerifolia
