address,status,borough,longitude,latitude,spc_common,spc_latin
247-018 139 AV,Fair,Queens,-73.732267,40.664544,"oak, pin",quercus palustris
355 BELMONT AV,Fair,Brooklyn,-73.896692,40.670456,"oak, pin",quercus palustris
38 MARCY AV,Fair,Brooklyn,-73.955083,40.712944,"oak, pin",quercus palustris
65-057 165 ST,Fair,Queens,-73.803792,40.735689,"oak, pin",quercus palustris
214 GRAND CONCOURSE,Fair,Bronx,-73.929806,40.813244,"oak, english",quercus robur
242 GARETSON AV,Good,Staten Island,-74.093622,40.588098,"pear, callery",pyrus calleryana
320 E 95 ST,Fair,Manhattan,-73.947076,40.783352,"pear, callery",pyrus calleryana
58 POTTER AV,Fair,Staten Island,-74.116697,40.617272,"maple, red",acer rubrum
175-060 UNDER HILL AV,Poor,Queens,-73.793379,40.746942,london planetree,platanus acerifolia
1723 STUART ST,Fair,Brooklyn,-73.942865,40.60995,"maple, sycamore",acer pseudoplatanus
192 JAQUES AV,Fair,Staten Island,-74.11008,40.571518,london planetree,platanus acerifolia
21-004 31 ST,Fair,Queens,-73.908588,40.77786,honeylocust,gleditsia triacanthos
1400 WOOD AV,Good,Bronx,-73.862288,40.835601,"zelkova, japanese",zelkova serrata
150-046 58 AV,Poor,Queens,-73.817255,40.742972,"maple, norway",acer platanoides
83-016 253 ST,Poor,Queens,-73.71528,40.737453,"maple, norway",acer platanoides
174-013 127 AV,Fair,Queens,-73.767822,40.681051,"oak, pin",quercus palustris
949 1 AV,Fair,Manhattan,-73.965136,40.755275,"pear, callery",pyrus calleryana
25 RYE AV,Fair,Staten Island,-74.169595,40.545243,"maple, norway",acer platanoides
5910 RIVERDALE AV,Fair,Bronx,-73.90401,40.907191,ginkgo,ginkgo biloba
69 BENTLEY ST,Good,Staten Island,-74.251352,40.510572,"maple, norway",acer platanoides
15-006 212 ST,Fair,Queens,-73.781634,40.785499,"oak, pin",quercus palustris
149 W 105 ST,Fair,Manhattan,-73.964757,40.79915,"linden, other",tilia species
171-003 69 ST,Good,Queens,-73.798532,40.732858,"maple, norway",acer platanoides
