address,status,spc_latin,spc_common,boroname,latitude,longitude
250 RIVERSIDE DRIVE,Fair,pyrus calleryana,"pear, callery",Manhattan,40.79644656,-73.97389841
4540 UTOPIA PARKWAY,Fair,quercus palustris,"oak, pin",Queens,40.75445219,-73.79257841
3131 SHORE PARKWAY SR NORTH,Fair,platanus acerifolia,london planetree,Brooklyn,40.58509805,-73.95968443
130-14 177 STREET,Fair,gleditsia triacanthos,honeylocust,Queens,40.6795142,-73.76525937
3220 AVENUE H,Poor,platanus acerifolia,london planetree,Brooklyn,40.63178658,-73.94532442
81-37 COMMONWEALTH BOULEVARD,Fair,tilia cordata,"linden, little leaf",Queens,40.7393681,-73.72381304
2317 WASHINGTON AVENUE,Fair,tilia cordata,"linden, little leaf",Bronx,40.85566359,-73.89278226
1420 OCEAN PARKWAY,Fair,acer platanoides,"maple, norway",Brooklyn,40.61385531,-73.96852389
38 BRENTWOOD AVENUE,Good,platanus acerifolia,london planetree,Staten Island,40.63821482,-74.10284367
7119 CENTRAL AVENUE,Fair,platanus acerifolia,london planetree,Queens,40.70471865,-73.88071894
73-03 73 AVENUE,Fair,platanus acerifolia,london planetree,Queens,40.72923513,-73.79688481
1467 OVERING STREET,Poor,zelkova serrata,"zelkova, japanese",Bronx,40.84038442,-73.84502893
2401 BURNETT STREET,Fair,platanus acerifolia,london planetree,Brooklyn,40.61192128,-73.94383828
1985 EAST   15 STREET,Fair,prunus species,"cherry, other",Brooklyn,40.60168662,-73.95693395
107-17 105 STREET,Fair,pyrus calleryana,"pear, callery",Queens,40.68061012,-73.83526542
1961 EAST   35 STREET,Good,zelkova serrata,"zelkova, japanese",Brooklyn,40.60996161,-73.93284118
41-19 NEWTOWN ROAD,Fair,zelkova serrata,"zelkova, japanese",Queens,40.76204864,-73.91509
1140 PARK AVENUE,Fair,prunus species,"cherry, other",Manhattan,40.7835157,-73.95477975
61-47 ALDERTON STREET,Fair,prunus species,"cherry, other",Queens,40.7278475,-73.86943513
2252 RALPH AVENUE,Poor,quercus palustris,"oak, pin",Brooklyn,40.62294008,-73.91763367
4300 MURDOCK AVENUE,Fair,platanus acerifolia,london planetree,Bronx,40.89765479,-73.84261658
90-15 QUEENS BOULEVARD,Fair,gleditsia triacanthos,honeylocust,Queens,40.73396819,-73.87176492
15-46 200 STREET,Fair,acer platanoides          crimson king,"maple, norway-cr kng",Queens,40.78510794,-73.79392734
151 VINELAND AVENUE,Fair,quercus palustris,"oak, pin",Staten Island,40.54983013,-74.18543374
92 AUBURN AVENUE,Poor,acer platanoides,"maple, norway",Staten Island,40.61196895,-74.14608487
1712 SHORE BOULEVARD,Good,zelkova serrata,"zelkova, japanese",Brooklyn,40.58085307,-73.93782768
653 56 STREET,Fair,platanus acerifolia,london planetree,Brooklyn,40.63972605,-74.01045647
33-34 76 STREET,Fair,acer platanoides,"maple, norway",Queens,40.75427156,-73.89083035
151-02 PECK AVENUE,Fair,platanus acerifolia,london planetree,Queens,40.74608499,-73.81611681
45-66 167 STREET,Fair,acer platanoides,"maple, norway",Queens,40.75464657,-73.80006013
186 FREMONT AVENUE,Fair,platanus acerifolia,london planetree,Staten Island,40.57786894,-74.10750257
2108 EAST    4 STREET,Fair,platanus acerifolia,london planetree,Brooklyn,40.59881369,-73.96801964
374 EAST   10 STREET,Fair,ginkgo biloba,ginkgo,Manhattan,40.72628365,-73.97853315
30-37 LINDEN PLACE,Fair,quercus alba,"oak, white",Queens,40.77036877,-73.83297831
1286 EAST   49 STREET,Good,ginkgo biloba,ginkgo,Brooklyn,40.62963126,-73.92904221
1913 BUSSING AVENUE,Poor,acer platanoides,"maple, norway",Bronx,40.89483617,-73.84682262
141-22 BROOKVILLE BOULEVARD,Fair,tilia americana,"linden, american",Queens,40.66412845,-73.74042962
728 LORIMER STREET,Good,koelreuteria paniculata,goldenrain tree,Brooklyn,40.71865539,-73.95011241
61-18 156 STREET,Fair,tilia cordata,"linden, little leaf",Queens,40.73819593,-73.81232437
145 CASSIDY PLACE,Good,tilia tomentosa,"linden, silver",Staten Island,40.64186515,-74.09679573
152-72 MELBOURNE AVENUE,Fair,acer rubrum,"maple, red",Queens,40.73389132,-73.81692624
129 CAMDEN AVENUE,Good,pyrus calleryana,"pear, callery",Staten Island,40.50879908,-74.22883334
21121 91 AVENUE,Poor,acer platanoides,"maple, norway",Queens,40.71923148,-73.75106103
4134 BRUNER AVENUE,Good,gleditsia triacanthos,honeylocust,Bronx,40.89303657,-73.84751398
