address,status,spc_latin,spc_common,boroname,latitude,longitude
1391 EAST   14 STREET,Fair,fraxinus pennsylvanica,"ash, green",Brooklyn,40.6159444,-73.96058069
320 EAST  237 STREET,Fair,zelkova serrata,"zelkova, japanese",Bronx,40.89901909,-73.86675491
235-52 147 DRIVE,Fair,acer platanoides,"maple, norway",Queens,40.65619574,-73.74645234
131-17 15 AVENUE,Fair,prunus species,"cherry, other",Queens,40.78464651,-73.83652826
100-02 75 AVENUE,Poor,acer rubrum,"maple, red",Queens,40.70947819,-73.84408165
1275 EAST   84 STREET,Poor,platanus acerifolia,london planetree,Brooklyn,40.63137219,-73.90364821
332 EAST   29 STREET,Fair,fraxinus pennsylvanica,"ash, green",Manhattan,40.74125879,-73.97727611
171-24 109 AVENUE,Poor,acer platanoides,"maple, norway",Queens,40.69770144,-73.78363454
2201 BROADWAY,Fair,tilia cordata,"linden, little leaf",Manhattan,40.78326765,-73.98041053
1163 YORK AVENUE,Good,zelkova serrata,"zelkova, japanese",Manhattan,40.76093324,-73.95807635
1737 YORK AVENUE,Good,gleditsia triacanthos,honeylocust,Manhattan,40.77876035,-73.94506654
57 3 STREET,Fair,ginkgo biloba,ginkgo,Brooklyn,40.67806272,-73.99417029
2170 EAST  130 STREET,Fair,pyrus calleryana,"pear, callery",Manhattan,40.80892534,-73.93838544
490 WEST END AVENUE,Good,pyrus calleryana,"pear, callery",Manhattan,40.78730765,-73.97899376
171-11 32 AVENUE,Good,pyrus calleryana,"pear, callery",Queens,40.76864769,-73.79391329
64-80 ALDERTON STREET,Fair,fraxinus pennsylvanica,"ash, green",Queens,40.72108074,-73.85932907
40 RAILY COURT,Fair,fraxinus pennsylvanica,"ash, green",Staten Island,40.5528281,-74.2013583
1726 HART STREET,Fair,styphnolobium japonicum,japanese pagoda tree,Queens,40.70718547,-73.91747547
1051 ATLANTIC AVENUE,Good,gleditsia triacanthos,honeylocust,Brooklyn,40.6795507,-73.95690169
267 BENNETT AVENUE,Fair,fraxinus pennsylvanica,"ash, green",Staten Island,40.5361255,-74.18528779
101 WILSON TERRACE,Fair,ulmus americana,"elm, american",Staten Island,40.60430415,-74.09501266
82-53 248 STREET,Fair,pyrus calleryana,"pear, callery",Queens,40.73781978,-73.72029033
42-18 31 AVENUE,Poor,acer rubrum,"maple, red",Queens,40.76045958,-73.91528695
7214 73 STREET,Fair,tilia cordata,"linden, little leaf",Brooklyn,40.61751179,-73.99968771
1520 EAST   51 STREET,Poor,acer platanoides,"maple, norway",Brooklyn,40.6231491,-73.92632576
1749 GRAND AVENUE,Fair,platanus acerifolia,london planetree,Bronx,40.84971924,-73.91317802
3720 INDEPENDENCE AVENUE,Poor,platanus acerifolia,london planetree,Bronx,40.8885072,-73.9130695
251-45 VAN ZANDT AVENUE,Good,quercus palustris,"oak, pin",Queens,40.7655286,-73.73203287
462 HEGEMAN AVENUE,Fair,prunus species,"cherry, other",Brooklyn,40.65872961,-73.89442153
78-20 24 AVENUE,Fair,platanus acerifolia,london planetree,Queens,40.76450367,-73.89051757
80-64 266 STREET,Fair,acer platanoides,"maple, norway",Queens,40.74487189,-73.705208
350 EAST   91 STREET,Poor,fraxinus pennsylvanica,"ash, green",Manhattan,40.78054863,-73.94822453
138-34 247 STREET,Fair,acer ginnala,"maple, amur",Queens,40.66509894,-73.73153879
991 FOX STREET,Good,tilia cordata,"linden, little leaf",Bronx,40.82249478,-73.89390156
122-11 13 AVENUE,Good,platanus acerifolia,london planetree,Queens,40.79806949,-73.84536942
419 1 STREET,Fair,platanus acerifolia,london planetree,Brooklyn,40.67230511,-73.978756
115-01 130 STREET,Good,platanus acerifolia,london planetree,Queens,40.67926293,-73.81061905
45-08 41 STREET,Fair,gleditsia triacanthos,honeylocust,Queens,40.74356309,-73.92337773
156 DRIGGS AVENUE,Fair,tilia cordata,"linden, little leaf",Brooklyn,40.72304179,-73.94470119
139-20 222 STREET,Poor,pinus strobus,"pine, eastern white",Queens,40.67176999,-73.75162751
215-16 111 AVENUE,Fair,zelkova serrata,"zelkova, japanese",Queens,40.70724665,-73.74181451
109-18 SUTPHIN BOULEVARD,Poor,gleditsia triacanthos,honeylocust,Queens,40.69144737,-73.79792378
46 MONTEREY AVENUE,Fair,pyrus calleryana,"pear, callery",Staten Island,40.55549014,-74.17480462
215 OCEAN AVENUE,Fair,ulmus americana,"elm, american",Brooklyn,40.65769595,-73.96234729
125 VAN CORTLANDT AVENUE,Good,acer campestre,"maple, hedge",Staten Island,40.61566311,-74.10030201
24 WEST   94 STREET,Fair,ulmus parvifolia,"elm, chinese",Manhattan,40.79073013,-73.96651902
109-12 212 STREET,Poor,acer platanoides,"maple, norway",Queens,40.70892939,-73.74560251
2856 EAST  194 STREET,Fair,platanus acerifolia,london planetree,Bronx,40.8524849,-73.83256608
487 EAST  168 STREET,Fair,gleditsia triacanthos,honeylocust,Bronx,40.83130256,-73.90656393
102 WEST   79 STREET,Good,styphnolobium japonicum,japanese pagoda tree,Manhattan,40.78214147,-73.97595501
109 WAINWRIGHT AVENUE,Good,pyrus calleryana,"pear, callery",Staten Island,40.55866807,-74.171538
640 FT WASHINGTON AVENUE,Good,ulmus parvifolia,"elm, chinese",Manhattan,40.85608285,-73.93634857
154-06 JEWEL AVENUE,Good,quercus palustris,"oak, pin",Queens,40.73201563,-73.81457525
664 FR CAPODANNO BOULEVARD,Fair,crataegus species,"hawthorn, other",Staten Island,40.5806854,-74.0762374
144-20 225 STREET,Fair,gleditsia triacanthos,honeylocust,Queens,40.66418679,-73.75320569
76-02 170 STREET,Good,quercus palustris,"oak, pin",Queens,40.72616252,-73.79909209
139-19 109 AVENUE,Fair,ulmus americana,"elm, american",Queens,40.68756729,-73.8065101
8403 COMMONWEALTH BOULEVARD,Fair,pyrus calleryana,"pear, callery",Queens,40.73431816,-73.72171588
26-11 CLEARVIEW EXPRESSWAY SR EAST,Fair,platanus acerifolia,london planetree,Queens,40.77604045,-73.78405519
78-43 147 STREET,Good,tilia cordata,"linden, little leaf",Queens,40.71975418,-73.81591529
1393 WILLOUGHBY AVENUE,Fair,gleditsia triacanthos,honeylocust,Brooklyn,40.70729963,-73.91975846
211-03 33 AVENUE,Fair,pyrus calleryana,"pear, callery",Queens,40.77156419,-73.77707287
2704 BEDFORD AVENUE,Good,fraxinus pennsylvanica,"ash, green",Brooklyn,40.63689279,-73.95364327
1488 STADIUM AVENUE,Fair,acer platanoides,"maple, norway",Bronx,40.84381249,-73.82037533
209-19 34 AVENUE,Fair,acer platanoides,"maple, norway",Queens,40.76915344,-73.77947811
87-03 157 AVENUE,Fair,pyrus calleryana,"pear, callery",Queens,40.6617466,-73.84616121
134 PENNYFIELD AVENUE,Fair,acer platanoides,"maple, norway",Bronx,40.81166396,-73.8053907
761 JACKSON AVENUE,Fair,zelkova serrata,"zelkova, japanese",Bronx,40.81884996,-73.90679818
200 CHAMBERS STREET,Fair,gleditsia triacanthos,honeylocust,Manhattan,40.71686225,-74.01220732
147-02 NEWPORT AVENUE,Fair,styphnolobium japonicum,japanese pagoda tree,Queens,40.57305224,-73.8643743
337 OAKLAND AVENUE,Good,pyrus calleryana,"pear, callery",Staten Island,40.63397201,-74.11101208
119-16 153 STREET,Fair,ginkgo biloba,ginkgo,Queens,40.67880822,-73.78905695
43-15 202 STREET,Fair,fraxinus pennsylvanica,"ash, green",Queens,40.75826588,-73.78137311
215 ROSS STREET,Fair,fraxinus pennsylvanica,"ash, green",Brooklyn,40.70650241,-73.95917819
117-40 231 STREET,Poor,acer platanoides,"maple, norway",Queens,40.69131317,-73.73101134
38 ROANOKE STREET,Good,quercus palustris,"oak, pin",Staten Island,40.59746644,-74.13399366
201 EAST   37 STREET,Fair,pyrus calleryana,"pear, callery",Manhattan,40.74757981,-73.97659906
131-53 231 STREET,Fair,tilia americana,"linden, american",Queens,40.6786185,-73.73693199
84-35 127 STREET,Fair,pyrus calleryana,"pear, callery",Queens,40.70691458,-73.82498586
39-55 GREENPOINT AVENUE,Fair,gleditsia triacanthos,honeylocust,Queens,40.73914027,-73.92600625
5724 KINGS HIGHWAY,Fair,acer platanoides,"maple, norway",Brooklyn,40.6515611,-73.9232023
4427 ELY AVENUE,Fair,platanus acerifolia,london planetree,Bronx,40.8994419,-73.84902216
28-50 211 STREET,Fair,tilia cordata,"linden, little leaf",Queens,40.77540324,-73.7780493
247-17 88 DRIVE,Fair,zelkova serrata,"zelkova, japanese",Queens,40.7279309,-73.72050502
1453 OAKLEY STREET,Fair,liquidambar styraciflua,sweetgum,Bronx,40.8799998,-73.84999568
370 RIVERSIDE DRIVE,Good,pyrus calleryana,"pear, callery",Manhattan,40.8041167,-73.96841225
159 CLYMER STREET,Fair,gleditsia triacanthos,honeylocust,Brooklyn,40.70683589,-73.96321402
680 ST MARK'S AVENUE,Good,ulmus americana,"elm, american",Brooklyn,40.67525555,-73.95110023
978 EAST   43 STREET,Fair,tilia cordata,"linden, little leaf",Brooklyn,40.63122401,-73.93499944
147-16 WELLER LANE,Fair,platanus acerifolia,london planetree,Queens,40.65702165,-73.73417349
37-27 97 STREET,Poor,taxodium distichum,baldcypress,Queens,40.75107096,-73.86950872
182 DRUMGOOLE ROAD EAST,Fair,acer rubrum,"maple, red",Staten Island,40.55682518,-74.17410636
2754 EAST   65 STREET,Fair,acer rubrum,"maple, red",Brooklyn,40.60579532,-73.9128614
246-20 86 ROAD,Fair,acer platanoides          crimson king,"maple, norway-cr kng",Queens,40.73078957,-73.72106672
3400 EAST   35 STREET,Fair,platanus acerifolia,london planetree,Brooklyn,40.61421274,-73.93759545
1823 HARING STREET,Poor,acer platanoides,"maple, norway",Brooklyn,40.60671404,-73.94204966
130-04 225 STREET,Fair,acer platanoides,"maple, norway",Queens,40.68276341,-73.74190209
82-25 167 STREET,Fair,pyrus calleryana,"pear, callery",Queens,40.71943902,-73.79976532
420 EAST  111 STREET,Good,pyrus calleryana,"pear, callery",Manhattan,40.79226005,-73.93653237
332 ARMSTRONG AVENUE,Fair,pyrus calleryana,"pear, callery",Staten Island,40.5418881,-74.15480415
1556 44 STREET,Fair,fraxinus pennsylvanica,"ash, green",Brooklyn,40.63443066,-73.98359596
226-38 MANOR ROAD,Fair,acer platanoides,"maple, norway",Queens,40.7336687,-73.74098687
44 MAUJER STREET,Fair,quercus rubra,"oak, northern red",Brooklyn,40.71037956,-73.94923849
101-14 106 STREET,Poor,acer platanoides,"maple, norway",Queens,40.68651905,-73.83679046
68-66 FOREST AVENUE,Good,acer saccharum,"maple, sugar",Queens,40.70218514,-73.90088422
84-22 122 STREET,Fair,acer pseudoplatanus,"maple, sycamore",Queens,40.70440772,-73.82988673
68-15 60 ROAD,Good,malus species,crabapple,Queens,40.72045554,-73.89307914
3 SHIEL AVENUE,Fair,acer rubrum,"maple, red",Staten Island,40.54524901,-74.21386408
44-20 64 STREET,Good,prunus virginiana           shubert,"chokecherry, shubert",Queens,40.74046977,-73.90171499
21840 STEWART ROAD,Poor,acer platanoides,"maple, norway",Queens,40.73431296,-73.75185986
617 EAST   86 STREET,Fair,tilia cordata,"linden, little leaf",Brooklyn,40.64121626,-73.91206206
64 73 STREET,Good,quercus species,"oak, other",Brooklyn,40.63460226,-74.03471772
117-11 97 AVENUE,Fair,platanus acerifolia,london planetree,Queens,40.69076899,-73.82806806
95 MC FARLAND AVENUE,Fair,platanus acerifolia,london planetree,Staten Island,40.59768521,-74.06994799
168 JOHNSON AVENUE,Good,quercus palustris,"oak, pin",Brooklyn,40.70662713,-73.94268056
14728 9 AVENUE,Poor,acer pseudoplatanus,"maple, sycamore",Queens,40.7921094,-73.81991895
77 TRUXTON STREET,Fair,pyrus calleryana,"pear, callery",Brooklyn,40.67855731,-73.90643543
257-08 EAST WILLISTON AVENUE,Fair,fraxinus pennsylvanica,"ash, green",Queens,40.73444822,-73.70990887
7101 69 PLACE,Fair,acer platanoides,"maple, norway",Queens,40.70385336,-73.88271858
86-10 109 STREET,Fair,fraxinus pennsylvanica,"ash, green",Queens,40.69783972,-73.83961537
54-03 JUNCTION BOULEVARD,Fair,acer saccharinum,"maple, silver",Queens,40.73879047,-73.86670727
999 EAST   92 STREET,Fair,platanus acerifolia,london planetree,Brooklyn,40.64446333,-73.90853
201 62 STREET,Good,fraxinus pennsylvanica,"ash, green",Brooklyn,40.64213951,-74.023627
37 METCALFE STREET,Fair,pyrus calleryana,"pear, callery",Staten Island,40.61613333,-74.0856609
224-04 UNION TURNPIKE,Fair,quercus rubra,"oak, northern red",Queens,40.73581872,-73.74630813
105 LIBERTY AVENUE,Fair,ginkgo biloba,ginkgo,Staten Island,40.58867555,-74.09793199
46-40 ROBINSON STREET,Good,acer palmatum,"maple, japanese",Queens,40.7512873,-73.8167485
146-12 25 AVENUE,Fair,quercus palustris,"oak, pin",Queens,40.77525994,-73.82149146
4526 BULLARD AVENUE,Fair,zelkova serrata,"zelkova, japanese",Bronx,40.90246785,-73.85649978
8848 78 AVENUE,Good,acer saccharinum,"maple, silver",Queens,40.70649574,-73.85988645
62-01 99 STREET,Good,platanus acerifolia,london planetree,Queens,40.73490481,-73.85828234
1024 VIRGINIA STREET,Fair,gleditsia triacanthos,honeylocust,Queens,40.60601157,-73.74230686
1929 EAST   14 STREET,Fair,betula pendula,"birch, european white",Brooklyn,40.60253792,-73.95804256
257 GREENE AVENUE,Fair,tilia cordata,"linden, little leaf",Brooklyn,40.68724037,-73.96130296
99-03 205 PLACE,Fair,tilia cordata,"linden, little leaf",Queens,40.71269244,-73.75443289
000 EASTERN PARKWAY,Fair,ulmus americana,"elm, american",Brooklyn,40.66843248,-73.92408586
65-25 78 AVENUE,Poor,acer platanoides,"maple, norway",Queens,40.69786186,-73.888575
1925 PALMETTO STREET,Fair,platanus acerifolia,london planetree,Queens,40.70519984,-73.90526552
308 ATKINS AVENUE,Fair,prunus virginiana           shubert,"chokecherry, shubert",Brooklyn,40.67119407,-73.87817616
116-11 157 STREET,Poor,acer platanoides,"maple, norway",Queens,40.68497061,-73.78627913
650 1 AVENUE,Fair,gleditsia triacanthos,honeylocust,Manhattan,40.7458688,-73.97197662
1380 AVENUE OF THE AMERICAS,Good,ginkgo biloba,ginkgo,Manhattan,40.76374382,-73.97760416
132-20 81 STREET,Poor,acer platanoides,"maple, norway",Queens,40.67472767,-73.85539635
400 EDGEGROVE AVENUE,Fair,platanus acerifolia,london planetree,Staten Island,40.53980421,-74.18488064
20 SUTTON PLACE SOUTH,Fair,pyrus calleryana,"pear, callery",Manhattan,40.75655923,-73.9612663
1017 EAST   89 STREET,Fair,acer platanoides,"maple, norway",Brooklyn,40.63772708,-73.90448576
275 77 STREET,Fair,tilia americana,"linden, american",Brooklyn,40.63023408,-74.02923576
130-19 116 STREET,Fair,acer platanoides,"maple, norway",Queens,40.67438808,-73.82259453
203-20 33 AVENUE,Fair,quercus palustris,"oak, pin",Queens,40.76885756,-73.78558393
141-37 82 DRIVE,Good,platanus acerifolia,london planetree,Queens,40.7135594,-73.8177396
189-11 NORTHERN BOULEVARD,Fair,fraxinus pennsylvanica,"ash, green",Queens,40.7577939,-73.79180277
814 TILDEN STREET,Good,zelkova serrata,"zelkova, japanese",Bronx,40.87685189,-73.86116914
33-23 CLEARVIEW EXPRESSWAY,Fair,platanus acerifolia,london planetree,Queens,40.76946872,-73.7821703
654 WAINWRIGHT AVENUE,Fair,pyrus calleryana,"pear, callery",Staten Island,40.54411726,-74.16819764
803 BEVERLY ROAD,Good,acer saccharinum,"maple, silver",Brooklyn,40.64360411,-73.97145744
57 BAY   34 STREET,Fair,gleditsia triacanthos,honeylocust,Brooklyn,40.59906215,-73.99195897
129 CHARLES LANE,Fair,pyrus calleryana,"pear, callery",Manhattan,40.73424128,-74.009991
149-49 26 AVENUE,Good,quercus palustris,"oak, pin",Queens,40.77441286,-73.81568837
1147 NORTH RAILROAD AVENUE,Fair,platanus acerifolia,london planetree,Staten Island,40.57923381,-74.10965752
86-76 FRANCIS LEWIS BOULEVARD,Fair,tilia cordata,"linden, little leaf",Queens,40.72401994,-73.76352962
44 LIBERTY AVENUE,Good,fraxinus pennsylvanica,"ash, green",Staten Island,40.58945647,-74.09949934
137-60 231 STREET,Fair,zelkova serrata,"zelkova, japanese",Queens,40.67113799,-73.74134867
54 GREENE AVENUE,Fair,gleditsia triacanthos,honeylocust,Brooklyn,40.68618357,-73.97032144
450 EAST   18 STREET,Good,quercus rubra,"oak, northern red",Brooklyn,40.63997527,-73.96129074
240 MARTIN AVENUE,Good,acer rubrum,"maple, red",Staten Island,40.6050298,-74.13970614
2 RALEIGH PLACE,Poor,tilia americana,"linden, american",Brooklyn,40.6516627,-73.94774073
83-26 ABINGDON ROAD,Good,acer rubrum,"maple, red",Queens,40.70739303,-73.83295216
1754 64 STREET,Good,cedrus atlantica,"cedar, atlas",Brooklyn,40.62036715,-73.99062721
345 CHAMBERS STREET,Good,gleditsia triacanthos,honeylocust,Manhattan,40.71755102,-74.01366484
195-25 STATION ROAD,Poor,acer saccharinum,"maple, silver",Queens,40.76132256,-73.78670917
181-40 MIDLAND PARKWAY,Fair,quercus palustris,"oak, pin",Queens,40.72083084,-73.78467781
5800 TILDEN AVENUE,Fair,quercus palustris,"oak, pin",Brooklyn,40.64865642,-73.92217138
68-20 SELFRIDGE STREET,Fair,acer platanoides,"maple, norway",Queens,40.71328785,-73.85669425
1365 52 STREET,Good,prunus species,"cherry, other",Brooklyn,40.63254592,-73.99252057
2526 OCEAN PARKWAY,Fair,gleditsia triacanthos,honeylocust,Brooklyn,40.58831968,-73.9657816
39-30 217 STRET,Good,tilia cordata,"linden, little leaf",Queens,40.76583903,-73.76618613
5352 206 STREET,Good,acer saccharinum,"maple, silver",Queens,40.74996555,-73.77276361
1048 FLATBUSH AVENUE,Good,quercus palustris,"oak, pin",Brooklyn,40.64557899,-73.95806234
112-16 71 ROAD,Fair,prunus species,"cherry, other",Queens,40.72239311,-73.83868322
121 MC BAINE AVENUE,Fair,acer rubrum,"maple, red",Staten Island,40.54347101,-74.21054462
21 WEST MOSHOLU PARKWAY NORTH,Fair,quercus palustris,"oak, pin",Bronx,40.88136501,-73.88433655
56-20 FRANCIS LEWIS BOULEVARD,Poor,quercus rubra,"oak, northern red",Queens,40.74688683,-73.77744055
105 HERRICK AVENUE,Fair,pyrus calleryana,"pear, callery",Staten Island,40.53121199,-74.22111461
7503 196 STREET,Fair,pyrus calleryana,"pear, callery",Queens,40.73265742,-73.77573087
89-01 165 STREET,Fair,pyrus calleryana,"pear, callery",Queens,40.70738853,-73.79609367
1526 OVERING STREET,Fair,platanus acerifolia,london planetree,Bronx,40.84134677,-73.84630247
87-57 254 STREET,Good,fraxinus pennsylvanica,"ash, green",Queens,40.72886712,-73.7117011
3333 BROADWAY,Fair,styphnolobium japonicum,japanese pagoda tree,Manhattan,40.81983138,-73.95528618
149 EINSTEIN LOOP SOUTH,Fair,gleditsia triacanthos,honeylocust,Bronx,40.86409523,-73.82266862
297 HIGHLAND BOULEVARD,Fair,platanus acerifolia,london planetree,Brooklyn,40.6831169,-73.89140835
230 EAST   27 STREET,Good,gleditsia triacanthos,honeylocust,Manhattan,40.74099863,-73.98050957
88-12 102 ROAD,Good,tilia tomentosa,"linden, silver",Queens,40.68127135,-73.85118903
343 WILLOW ROAD EAST,Fair,acer saccharinum,"maple, silver",Staten Island,40.61660546,-74.15201302
264-04 82 AVENUE,Fair,pyrus calleryana,"pear, callery",Queens,40.74200272,-73.70593522
80-26 87 AVENUE,Fair,ulmus species,"elm, other",Queens,40.69152701,-73.86091316
770 OCEAN PARKWAY,Fair,gleditsia triacanthos,honeylocust,Brooklyn,40.62963316,-73.97151025
84-57 265 STREET,Fair,pyrus calleryana,"pear, callery",Queens,40.73692341,-73.70321159
11 DASH PLACE,Fair,robinia pseudoacacia,black locust,Bronx,40.88839558,-73.90382904
29 OLGA PLACE,Good,pyrus calleryana,"pear, callery",Staten Island,40.60373864,-74.0767535
3227 SEYMOUR AVENUE,Good,platanus acerifolia,london planetree,Bronx,40.8727721,-73.8472061
164 TANGLEWOOD DRIVE,Fair,acer rubrum,"maple, red",Staten Island,40.56509163,-74.14942676
85-75 67 AVENUE,Good,acer rubrum,"maple, red",Queens,40.71801542,-73.85980451
83-60 265 STREET,Fair,ginkgo biloba,ginkgo,Queens,40.73900873,-73.70400702
1442 EAST   88 STREET,Fair,zelkova serrata,"zelkova, japanese",Brooklyn,40.63026342,-73.89744239
2766 EAST   64 STREET,Poor,platanus acerifolia,london planetree,Brooklyn,40.60620217,-73.91368199
120 HOPKINSON AVENUE,Fair,carpinus betulus,"hornbeam, european",Brooklyn,40.68078653,-73.91406136
163-18 108 AVENUE,Good,gleditsia triacanthos,honeylocust,Queens,40.69665012,-73.79102362
1647 WASHINGTON AVENUE,Fair,gleditsia triacanthos,honeylocust,Bronx,40.84083901,-73.90155586
135 CONVENT AVENUE,Fair,pyrus calleryana,"pear, callery",Manhattan,40.81804304,-73.95150472
1412 64 STREET,Fair,acer platanoides          crimson king,"maple, norway-cr kng",Brooklyn,40.62502817,-73.99833929
398 1 AVENUE,Good,gleditsia triacanthos,honeylocust,Manhattan,40.73707874,-73.97836368
19 SANFORD PLACE,Poor,acer platanoides,"maple, norway",Staten Island,40.61510861,-74.1150076
440 BEACH  127 STREET,Fair,acer platanoides,"maple, norway",Queens,40.57946276,-73.84795272
130-60 117 STREET,Good,fraxinus pennsylvanica,"ash, green",Queens,40.6742083,-73.82171177
148-32 KALMIA AVENUE,Good,pyrus calleryana,"pear, callery",Queens,40.75286602,-73.81194376
234 WEST  114 STREET,Poor,fraxinus pennsylvanica,"ash, green",Manhattan,40.80238017,-73.95460078
226 LEE AVENUE,Fair,tilia cordata,"linden, little leaf",Brooklyn,40.70111555,-73.9548104
1721 EAST   22 STREET,Fair,zelkova serrata,"zelkova, japanese",Brooklyn,40.60965528,-73.95134277
50-31 61 STREET,Poor,platanus acerifolia,london planetree,Queens,40.73672487,-73.90371598
1813 GEORGE STREET,Good,acer platanoides,"maple, norway",Queens,40.69948184,-73.90122003
196-16 69 AVENUE,Fair,platanus acerifolia,london planetree,Queens,40.73733051,-73.7765054
747 50 STREET,Good,tilia cordata,"linden, little leaf",Brooklyn,40.64169444,-74.00465186
50-34 BROADWAY,Fair,platanus acerifolia,london planetree,Queens,40.75451833,-73.90954111
11-35 45 AVENUE,Fair,quercus palustris,"oak, pin",Queens,40.7477358,-73.94950236
163-32 21 AVENUE,Fair,quercus rubra,"oak, northern red",Queens,40.77872902,-73.80007809
28 WOLCOTT AVENUE,Good,quercus palustris,"oak, pin",Staten Island,40.54946064,-74.17604106
410 HOLTON AVENUE,Good,pyrus calleryana,"pear, callery",Staten Island,40.51584105,-74.19373376
85-05 256 STREET,Good,fraxinus pennsylvanica,"ash, green",Queens,40.73424526,-73.71106081
215 BEACH  138 STREET,Fair,pyrus calleryana,"pear, callery",Queens,40.5733624,-73.85537462
154-58 10 AVENUE,Fair,acer pseudoplatanus,"maple, sycamore",Queens,40.79296625,-73.80666605
131 RIVERSIDE DRIVE,Fair,ulmus americana,"elm, american",Manhattan,40.78947354,-73.98068316
22-10 36 AVENUE,Fair,platanus acerifolia,london planetree,Queens,40.75939139,-73.93576235
206-48 45 ROAD,Fair,quercus palustris,"oak, pin",Queens,40.75768781,-73.77620969
401 EAST   30 STREET,Good,gleditsia triacanthos,honeylocust,Manhattan,40.74114029,-73.97500268
1442 40 STREET,Fair,acer pseudoplatanus,"maple, sycamore",Brooklyn,40.63813065,-73.98368513
100 AVENUE P,Fair,ulmus parvifolia,"elm, chinese",Brooklyn,40.60752361,-73.9846578
1592 EAST   34 STREET,Fair,platanus acerifolia,london planetree,Brooklyn,40.61597434,-73.94080257
64 76 STREET,Fair,platanus acerifolia,london planetree,Brooklyn,40.63235149,-74.03484625
689 FT WASHINGTON AVENUE,Fair,platanus acerifolia,london planetree,Manhattan,40.85731747,-73.93546171
4210 EDSON AVENUE,Fair,acer platanoides,"maple, norway",Bronx,40.89551522,-73.8456021
6601 19 AVENUE,Good,ilex species,holly species,Brooklyn,40.61716106,-73.98876544
60 VENUS LANE,Fair,pyrus calleryana,"pear, callery",Staten Island,40.58201851,-74.15589439
22-35 46 STREET,Fair,fraxinus pennsylvanica,"ash, green",Queens,40.76963405,-73.90329655
2919 MORGAN AVENUE,Good,acer saccharinum,"maple, silver",Bronx,40.86810073,-73.84522827
139-28 253 STREET,Fair,acer ginnala,"maple, amur",Queens,40.66168381,-73.73010717
244 BEACH  133 STREET,Fair,platanus acerifolia,london planetree,Queens,40.57500419,-73.85138259
115-58 231 STREET,Good,tilia cordata,"linden, little leaf",Queens,40.69583377,-73.72864904
3336 190 STREET,Good,platanus acerifolia,london planetree,Queens,40.76664296,-73.79179677
118-08 231 STREET,Fair,acer platanoides,"maple, norway",Queens,40.69041397,-73.73148013
241 REVERE AVENUE,Fair,ginkgo biloba,ginkgo,Bronx,40.81679121,-73.81718592
227-08 57 ROAD,Good,fraxinus pennsylvanica,"ash, green",Queens,40.75312451,-73.75137832
42-22 ORCHARD STREET,Fair,ailanthus altissima,tree of heaven,Queens,40.74809564,-73.93876154
208 GENESEE AVENUE,Poor,prunus species,"cherry, other",Staten Island,40.55336662,-74.16294906
214-47 WHITEHALL TERRACE,Fair,acer palmatum,"maple, japanese",Queens,40.72758499,-73.75033709
110 HICKORY AVENUE,Fair,acer platanoides,"maple, norway",Staten Island,40.594771,-74.07312802
5008 FT HAMILTON PARKWAY,Good,tilia cordata,"linden, little leaf",Brooklyn,40.63779967,-73.99852994
888 PARK AVENUE,Fair,gleditsia triacanthos,honeylocust,Manhattan,40.77530291,-73.9607752
275 FT WASHINGTON AVENUE,Fair,ulmus americana,"elm, american",Manhattan,40.84445596,-73.94089562
4414 FOSTER AVENUE,Good,quercus palustris,"oak, pin",Brooklyn,40.63944445,-73.93464193
64-25 186 LANE,Fair,quercus rubra,"oak, northern red",Queens,40.73791823,-73.78682017
947 EAST  101 STREET,Good,pinus strobus,"pine, eastern white",Brooklyn,40.64471945,-73.89658776
11-20 WHITESTONE EXPRESSWAY,Fair,platanus acerifolia,london planetree,Queens,40.78873663,-73.82379934
208 BEMENT AVENUE,Good,acer platanoides          crimson king,"maple, norway-cr kng",Staten Island,40.63695122,-74.11269246
4601 FIELDSTON ROAD,Fair,aesculus hippocastanum,horsechestnut,Bronx,40.8940125,-73.90539792
2027 EAST   41 STREET,Good,tilia cordata,"linden, little leaf",Brooklyn,40.62403233,-73.93441926
158-14 78 ROAD,Poor,platanus acerifolia,london planetree,Queens,40.72167027,-73.80931885
147-60 6 AVENUE,Good,quercus rubra,"oak, northern red",Queens,40.79437857,-73.82121297
114-109 228 STREET,Good,acer platanoides,"maple, norway",Queens,40.69875769,-73.73013019
20 AUSTIN PLACE,Fair,platanus acerifolia,london planetree,Staten Island,40.6317643,-74.08649879
374 KATAN AVENUE,Fair,acer rubrum,"maple, red",Staten Island,40.55172024,-74.15867008
406 NEWPORT AVENUE,Fair,gleditsia triacanthos,honeylocust,Queens,40.57336099,-73.86235857
1429 5 AVENUE,Fair,gleditsia triacanthos,honeylocust,Manhattan,40.8009987,-73.946204
2063 HAZEN STREET,Fair,platanus acerifolia,london planetree,Queens,40.77063021,-73.89675328
921 TIFFANY STREET,Fair,gleditsia triacanthos,honeylocust,Bronx,40.82021211,-73.89492406
172-34 HENLEY ROAD,Poor,acer saccharinum,"maple, silver",Queens,40.71413082,-73.79060809
1130 EAST   66 STREET,Fair,gleditsia triacanthos,honeylocust,Manhattan,40.76798886,-73.96826469
390 GREENWICH STREET,Fair,gleditsia triacanthos,honeylocust,Manhattan,40.72058435,-74.01011201
373 5 AVENUE,Fair,gleditsia triacanthos,honeylocust,Manhattan,40.74919224,-73.98400079
