status,spc_latin,spc_common,address,borough,latitude,longitude
Good,prunus cerasifera,purple-leaf plum,161 FIELDSTONE ROAD,Staten Island,40.61139803,-74.16537872
Poor,styphnolobium japonicum,sophora,21-030 44 DRIVE,Queens,40.74778237,-73.94619991
Fair,quercus palustris,pin oak,87-006 SUTTER AVENUE,Queens,40.67594813,-73.84947502
Good,tilia americana,american linden,24-024 42 STREET,Queens,40.767986,-73.90951674
Good,fraxinus,ash,4023 ROMBOUTS AVENUE,Bronx,40.89122832,-73.83020663
Good,acer platanoides,norway maple,88-042 COOPER AVENUE,Queens,40.7114778,-73.86367418
Good,pyrus calleryana,callery pear,2790 GOULDEN AVENUE,Bronx,40.87198116,-73.89700039
Good,ginkgo biloba,ginkgo,560 THIERIOT AVENUE,Bronx,40.81706556,-73.86106779
Good,gymnocladus dioicus,kentucky coffeetree,4155 OCEAN AVENUE,Brooklyn,40.57915942,-73.94749089
Good,platanus x acerifolia,london planetree,17 MICIELI PLACE,Brooklyn,40.64651315,-73.98196277
Good,gleditsia triacanthos var. inermis,honeylocust,110 EAST 153 STREET,Bronx,40.82290218,-73.92756737
Good,acer platanoides,norway maple,170 BATHGATE STREET,Staten Island,40.52963498,-74.16229723
Good,quercus palustris,pin oak,201 WEST 109 STREET,Manhattan,40.80253474,-73.96458028
Good,fraxinus pennsylvanica,green ash,8301 RIDGE BOULEVARD,Brooklyn,40.62618509,-74.03247354
Good,gleditsia triacanthos var. inermis,honeylocust,59 PRINCE STREET,Brooklyn,40.69568778,-73.9823543
Good,fraxinus pennsylvanica,green ash,2330 ESPLANADE,Bronx,40.86071291,-73.85373999
Good,fraxinus pennsylvanica,green ash,3081 BRIGHTON 7 STREET,Brooklyn,40.57738579,-73.96056489
Good,gleditsia triacanthos var. inermis,honeylocust,34 OTSEGO STREET,Brooklyn,40.67470898,-74.00975255
Good,quercus palustris,pin oak,98-036 CORONA AVENUE,Queens,40.74495131,-73.86396448
Fair,pyrus calleryana,callery pear,720 9 AVENUE,Manhattan,40.76298943,-73.98914518
Good,platanus x acerifolia,london planetree,511 EAST 61 STREET,Manhattan,40.75923057,-73.95854864
Good,prunus,cherry,167 DURANT AVENUE,Staten Island,40.55519294,-74.13315209
Good,acer platanoides 'crimson king',crimson king maple,219-052 64 AVENUE,Queens,40.74586199,-73.75750648
Good,tilia cordata,littleleaf linden,30 DENTON PLACE,Staten Island,40.61160293,-74.1482642
Good,quercus palustris,pin oak,121-024 236 STREET,Queens,40.68360135,-73.72997523
Good,platanus x acerifolia,london planetree,759 44 STREET,Brooklyn,40.64494145,-74.0008926
Fair,platanus x acerifolia,london planetree,50-017 SKILLMAN AVENUE,Queens,40.7461224,-73.91365742
Good,acer platanoides,norway maple,564 5 STREET,Brooklyn,40.66792149,-73.97683176
Fair,prunus,cherry,226-009 141 AVENUE,Queens,40.66892551,-73.74864213
Good,cercidiphyllum japonicum,katsura tree,221 KINGSTON AVENUE,Brooklyn,40.67252344,-73.94182992
Fair,platanus x acerifolia,london planetree,245-004 FRANCIS LEWIS BOULEVARD,Queens,40.66454738,-73.73482655
Poor,tilia cordata,littleleaf linden,15 ROCHESTER AVENUE,Brooklyn,40.67863618,-73.92733474
Good,prunus,cherry,87-024 MIDLAND PARKWAY,Queens,40.71351904,-73.7825267
Good,platanus x acerifolia,london planetree,77-001 SUTTER AVENUE,Queens,40.67468271,-73.85909251
Good,platanus x acerifolia,london planetree,111-031 158 STREET,Queens,40.68949879,-73.79074056
Good,quercus palustris,pin oak,280 ATLANTIC AVENUE,Staten Island,40.5907317,-74.09006496
Good,quercus palustris,pin oak,11-003 31 AVENUE,Queens,40.76931243,-73.93454301
Good,fraxinus pennsylvanica,green ash,625 BARLOW AVENUE,Staten Island,40.55701195,-74.16938944
Good,tilia tomentosa,silver linden,35-011 UTOPIA PARKWAY,Queens,40.7642117,-73.79301371
Good,ginkgo biloba,ginkgo,1108 BERGEN STREET,Brooklyn,40.67598746,-73.94907565
Good,pyrus calleryana,callery pear,58-001 189 STREET,Queens,40.74282448,-73.78637435
Fair,fraxinus,ash,190 LANGHAM STREET,Brooklyn,40.5784809,-73.94086163
Fair,quercus palustris,pin oak,8-001 149 STREET,Queens,40.79337734,-73.81770575
Good,platanus x acerifolia,london planetree,162-015 12 ROAD,Queens,40.79028836,-73.79950506
Good,gleditsia triacanthos var. inermis,honeylocust,243-011 147 AVENUE,Queens,40.65745843,-73.74102254
