status,spc_latin,spc_common,address,borough,latitude,longitude
Good,pyrus calleryana,callery pear,3-024 BEACH 13 STREET,Queens,40.59814997,-73.74702946
Good,fraxinus pennsylvanica,green ash,2875 WEST 5 STREET,Brooklyn,40.57929415,-73.9721004
Good,acer platanoides,norway maple,450 RICHMOND HILL ROAD,Staten Island,40.5817523,-74.15481147
Fair,ulmus americana,american elm,464 EASTERN PARKWAY,Brooklyn,40.66980729,-73.95290802
Fair,prunus,cherry,416 QUENTIN ROAD,Brooklyn,40.60675927,-73.97052212
Good,platanus x acerifolia,london planetree,1545 EAST 21 STREET,Brooklyn,40.61534777,-73.95330667
Good,platanus x acerifolia,london planetree,475 EAST 57 STREET,Brooklyn,40.64352406,-73.92281117
Good,gleditsia triacanthos var. inermis,honeylocust,119-024 227 STREET,Queens,40.68937051,-73.7361108
Poor,prunus,cherry,47 ROSWELL AVENUE,Staten Island,40.59028933,-74.19012021
Good,ulmus parvifolia,chinese elm,860 RIVER AVENUE,Bronx,40.82784265,-73.92688825
Good,zelkova serrata,japanese zelkova,73 SEIGEL STREET,Brooklyn,40.70437998,-73.94413398
Good,tilia cordata,littleleaf linden,1747 57 STREET,Brooklyn,40.62436308,-73.98646337
Good,pyrus calleryana,callery pear,1014 EAST 24 STREET,Brooklyn,40.62574204,-73.95256574
Fair,ulmus americana,american elm,1299 CONEY ISLAND AVENUE,Brooklyn,40.62602053,-73.96527677
Good,acer rubrum,red maple,60-035 76 STREET,Queens,40.72378814,-73.88385937
Good,zelkova serrata,japanese zelkova,6 SMYRNA AVENUE,Staten Island,40.55199813,-74.1784178
Good,zelkova serrata,japanese zelkova,85-064 144 STREET,Queens,40.70866419,-73.8124383
Fair,gleditsia triacanthos var. inermis,honeylocust,523 EAST 78 STREET,Manhattan,40.77017025,-73.94954651
Good,tilia americana,american linden,56-028 185 STREET,Queens,40.74265369,-73.79064091
Good,prunus,cherry,660 RICHMOND ROAD,Staten Island,40.6104849,-74.08901404
Good,pyrus calleryana,callery pear,369 CROWN AVENUE,Staten Island,40.5458713,-74.19060857
Good,quercus palustris,pin oak,109-031 46 AVENUE,Queens,40.74793642,-73.85442002
Fair,ulmus americana,american elm,615 OAKLAND AVENUE,Staten Island,40.62629758,-74.1092778
Good,tilia americana,american linden,29-020 202 STREET,Queens,40.77094479,-73.78799769
Good,ulmus americana,american elm,34 MORNINGSIDE DRIVE,Manhattan,40.80455355,-73.96021091
Good,gleditsia triacanthos var. inermis,honeylocust,1251 PACIFIC STREET,Brooklyn,40.67777419,-73.95113181
Good,maackia amurensis,amur maackia,4618 CHURCH AVENUE,Brooklyn,40.65151461,-73.9336372
Good,tilia tomentosa,silver linden,80-003 214 STREET,Queens,40.73373018,-73.75706894
Good,platanus x acerifolia,london planetree,521 47 STREET,Brooklyn,40.64647076,-74.00795668
Fair,fraxinus pennsylvanica,green ash,105-028 DITMARS BOULEVARD,Queens,40.76622301,-73.86468531
Fair,gleditsia triacanthos var. inermis,honeylocust,401 DR M L KING JR BOULEVARD,Manhattan,40.81120949,-73.95439974
Good,gleditsia triacanthos var. inermis,honeylocust,56-051 141 STREET,Queens,40.74631351,-73.82426107
Good,gleditsia triacanthos var. inermis,honeylocust,2320 POWELL AVENUE,Bronx,40.83168348,-73.84692438
Good,acer platanoides,norway maple,110-031 194 STREET,Queens,40.70322802,-73.76245728
Good,liquidambar styraciflua,sweetgum,220 BEACH AVENUE,Staten Island,40.56958351,-74.1171672
Good,quercus palustris,pin oak,426 RODNEY STREET,Brooklyn,40.7121991,-73.95400168
Good,platanus x acerifolia,london planetree,90-027 170 STREET,Queens,40.70790703,-73.79024779
Good,juniperus virginiana,eastern redcedar,7800 SHORE FRONT PARKWAY,Queens,40.58709321,-73.80424141
Good,zelkova serrata,japanese zelkova,364 SOUTH 1 STREET,Brooklyn,40.71040221,-73.95230961
Poor,quercus palustris,pin oak,90-005 56 AVENUE,Queens,40.7354334,-73.87246076
Good,acer,maple,1183 FR CAPODANNO BOULEVARD,Staten Island,40.56919974,-74.09193642
Good,quercus palustris,pin oak,115-054 FRANCIS LEWIS BOULEVARD,Queens,40.69811353,-73.74696442
Good,quercus palustris,pin oak,1238 EAST 32 STREET,Brooklyn,40.62124088,-73.94392543
Fair,pyrus calleryana,callery pear,1264 2 AVENUE,Manhattan,40.76521716,-73.96083474
Good,platanus x acerifolia,london planetree,64 OLIVER PLACE,Staten Island,40.61180557,-74.16659702
Good,acer platanoides,norway maple,73-003 186 STREET,Queens,40.73241351,-73.78465244
Good,ulmus americana,american elm,445 RIVERSIDE DRIVE,Manhattan,40.80923822,-73.96567933
Good,platanus x acerifolia,london planetree,10575 AVENUE K,Brooklyn,40.64555472,-73.88914031
Good,prunus cerasifera,purple-leaf plum,90-017 219 STREET,Queens,40.72597472,-73.74173861
Good,ginkgo biloba,ginkgo,135 EAST 19 STREET,Manhattan,40.73677316,-73.98576724
Poor,acer platanoides,norway maple,60-027 MADISON STREET,Queens,40.70663545,-73.89928289
Good,quercus palustris,pin oak,90 85 STREET,Brooklyn,40.62578976,-74.0365814
Good,acer rubrum,red maple,449 LISK AVENUE,Staten Island,40.62270062,-74.16417269
Good,tilia cordata,littleleaf linden,77-022 CALDWELL AVENUE,Queens,40.72500385,-73.88275282
Good,ginkgo biloba,ginkgo,63-084 FITCHETT STREET,Queens,40.72333409,-73.86612512
Fair,acer platanoides,norway maple,557 CLINTON STREET,Brooklyn,40.67662097,-74.00103402
Good,tilia americana,american linden,60-039 70 AVENUE,Queens,40.70198906,-73.89744269
Good,betula nigra,river birch,1810 BATHGATE AVENUE,Bronx,40.8446808,-73.89816143
Fair,fraxinus pennsylvanica,green ash,61-025 166 STREET,Queens,40.73765111,-73.80269136
Good,quercus rubra,northern red oak,1917 AVENUE N,Brooklyn,40.61616948,-73.95502644
Good,prunus,cherry,85-035 161 STREET,Queens,40.71142424,-73.80351361
Poor,acer saccharinum,silver maple,235-022 28 AVENUE,Queens,40.77999305,-73.75270849
Good,acer saccharinum,silver maple,163-028 20 AVENUE,Queens,40.7800542,-73.79926844
Good,platanus x acerifolia,london planetree,3405 AVENUE R,Brooklyn,40.61223689,-73.93629791
Good,pyrus calleryana,callery pear,32 CARLIN STREET,Staten Island,40.53861482,-74.23272709
Fair,gleditsia triacanthos var. inermis,honeylocust,57-002 100 STREET,Queens,40.73802244,-73.8588216
Good,crataegus,hawthorn,120-005 ATLANTIC AVENUE,Queens,40.69459037,-73.82664864
Good,acer saccharinum,silver maple,163-038 92 STREET,Queens,40.65133694,-73.83902303
Good,gleditsia triacanthos var. inermis,honeylocust,171-052 COURTNEY AVENUE,Queens,40.75114604,-73.7927494
Good,juniperus virginiana,eastern redcedar,155 MONAHAN AVENUE,Staten Island,40.5898429,-74.15180543
Fair,acer platanoides,norway maple,3 MC KEE AVENUE,Staten Island,40.54578553,-74.14181399
Poor,liriodendron tulipifera,tulip-poplar,816 WARWICK STREET,Brooklyn,40.66288418,-73.88206973
Good,malus,crab apple,1878 EAST 19 STREET,Brooklyn,40.604387,-73.95364383
Good,syringa reticulata,japanese tree lilac,1001 FINDLAY AVENUE,Bronx,40.82861421,-73.91485421
Good,prunus,cherry,37 TOMPKINS STREET,Staten Island,40.6245698,-74.07703319
Good,liquidambar styraciflua,sweetgum,352 8 STREET,Staten Island,40.56576669,-74.12276862
Good,platanus x acerifolia,london planetree,418 WEST 25 STREET,Manhattan,40.74823985,-74.00165753
Good,picea,spruce,127-015 ROCKAWAY BEACH BOULEVARD,Queens,40.57645167,-73.84678391
Good,pyrus calleryana,callery pear,268 WILDER AVENUE,Staten Island,40.5664269,-74.13364898
Good,prunus virginiana,'schubert' chokecherry,82-018 167 STREET,Queens,40.71937494,-73.79980898
Good,pinus sylvestris,scots pine,221 WEST 78 STREET,Manhattan,40.7828882,-73.97971405
Good,acer saccharinum,silver maple,56-044 210 STREET,Queens,40.74825134,-73.76794569
Good,gleditsia triacanthos var. inermis,honeylocust,750 BAYCHESTER AVENUE,Bronx,40.87449405,-73.83392113
Good,platanus x acerifolia,london planetree,1139 EAST 2 STREET,Brooklyn,40.62253693,-73.97434277
Good,ulmus parvifolia,chinese elm,470 OCEAN AVENUE,Brooklyn,40.65147345,-73.96137607
Good,pyrus calleryana,callery pear,3802 CHURCH AVENUE,Brooklyn,40.65100997,-73.94181383
Good,fraxinus pennsylvanica,green ash,246-032 86 ROAD,Queens,40.73063953,-73.72039291
Good,ulmus americana,american elm,800 POST AVENUE,Staten Island,40.63088285,-74.12747283
Good,ginkgo biloba,ginkgo,133-018 145 STREET,Queens,40.66845809,-73.79467043
Good,styphnolobium japonicum,sophora,98 HURON STREET,Brooklyn,40.73269707,-73.95765596
Good,fraxinus pennsylvanica,green ash,272 EAST 86 STREET,Brooklyn,40.64633176,-73.91785656
Good,platanus x acerifolia,london planetree,91 MARION AVENUE,Staten Island,40.62902369,-74.0840146
Good,quercus palustris,pin oak,254-009 HORACE HARDING EXPRESSWAY SR N,Queens,40.76395032,-73.72665074
Poor,acer platanoides,norway maple,60-058 LITTLE NECK PARKWAY,Queens,40.75881243,-73.7226182
Fair,acer rubrum,red maple,258-019 87 AVENUE,Queens,40.73172959,-73.70729069
Poor,gleditsia triacanthos var. inermis,honeylocust,220 6 STREET,Brooklyn,40.67292693,-73.98893801
Good,syringa reticulata,japanese tree lilac,162 UNION AVENUE,Staten Island,40.63253258,-74.15819444
Poor,gleditsia triacanthos var. inermis,honeylocust,7219 CATAMARAN WAY,Queens,40.58842174,-73.80072967
Good,quercus shumardii,schumard's oak,662 TRAVIS AVENUE,Staten Island,40.59235696,-74.16129305
Good,acer platanoides,norway maple,630 SINCLAIR AVENUE,Staten Island,40.54184334,-74.19638183
Good,celtis occidentalis,common hackberry,1419 JESUP AVENUE,Bronx,40.84154014,-73.9204344
Good,cercis canadensis,eastern redbud,1077 HUGUENOT AVENUE,Staten Island,40.5279954,-74.18855488
Good,quercus palustris,pin oak,482 MASON AVENUE,Staten Island,40.5813496,-74.09120501
Good,acer pseudoplatanus,sycamore maple,3001 BARKLEY AVENUE,Bronx,40.83218588,-73.82437669
Good,acer platanoides,norway maple,571 WEST 231 STREET,Bronx,40.88280268,-73.91292509
Good,pyrus calleryana,callery pear,130-037 217 STREET,Queens,40.68421573,-73.74969944
Good,pyrus calleryana,callery pear,88-011 WINCHESTER BOULEVARD,Queens,40.73025684,-73.73652951
Good,populus tremuloides,quaking aspen,41 COLFAX AVENUE,Staten Island,40.5810675,-74.10985517
Good,platanus x acerifolia,london planetree,163 BUSH STREET,Bronx,40.85190106,-73.90518112
Good,zelkova serrata,japanese zelkova,22-070 26 STREET,Queens,40.77683133,-73.91561193
Good,zelkova serrata,japanese zelkova,98-004 ASTORIA BOULEVARD,Queens,40.76225674,-73.87102037
Good,platanus x acerifolia,london planetree,48-014 KISSENA BOULEVARD,Queens,40.7483476,-73.81676721
Fair,tilia tomentosa,silver linden,550 THROOP AVENUE,Brooklyn,40.68448198,-73.94130998
Good,morus,mulberry,168-037 90 AVENUE,Queens,40.70823702,-73.79223249
Fair,tilia cordata,littleleaf linden,261 STANHOPE STREET,Brooklyn,40.70140184,-73.91981322
Fair,acer platanoides,norway maple,213-053 38 AVENUE,Queens,40.76688091,-73.77133928
Good,ginkgo biloba,ginkgo,12149 FLATLANDS AVENUE,Brooklyn,40.65311655,-73.88508499
Poor,platanus x acerifolia,london planetree,648 2 STREET,Brooklyn,40.66901271,-73.97384302
Good,ostrya virginiana,american hophornbeam,63 EVA AVENUE,Staten Island,40.55980335,-74.11078066
Good,quercus palustris,pin oak,64-030 182 STREET,Queens,40.737096,-73.7909962
Good,platanus x acerifolia,london planetree,215-005 17 AVENUE,Queens,40.78535002,-73.77708081
Fair,zelkova serrata,japanese zelkova,155 EAST 4 STREET,Manhattan,40.72463905,-73.98590172
Fair,fraxinus,ash,228 SHOTWELL AVENUE,Staten Island,40.55172404,-74.18110878
Good,quercus palustris,pin oak,145 WEST 84 STREET,Manhattan,40.78564265,-73.97439727
Good,platanus x acerifolia,london planetree,77-038 79 PLACE,Queens,40.7058123,-73.87110544
Good,prunus,cherry,401 POWELL STREET,Staten Island,40.54539179,-74.20013345
Good,acer campestre,hedge maple,328 DECKER AVENUE,Staten Island,40.62573392,-74.14038738
Good,acer rubrum,red maple,299 ALBOURNE AVENUE,Staten Island,40.5298295,-74.20195963
Good,gleditsia triacanthos var. inermis,honeylocust,4120 BRUNER AVENUE,Bronx,40.89279923,-73.84736684
Good,cercidiphyllum japonicum,katsura tree,160-028 21 AVENUE,Queens,40.77895446,-73.80230238
Good,acer pseudoplatanus,sycamore maple,146-050 229 STREET,Queens,40.65869981,-73.75265356
Good,quercus palustris,pin oak,188-011 MERRICK BOULEVARD,Queens,40.68036209,-73.75301906
Good,tilia americana,american linden,328 WEST 113 STREET,Manhattan,40.80296072,-73.95823075
Good,tilia tomentosa,silver linden,112-002 178 PLACE,Queens,40.69658506,-73.77333209
Good,acer platanoides,norway maple,52-001 94 STREET,Queens,40.73988049,-73.86873214
Good,acer,maple,166-014 15 DRIVE,Queens,40.784933,-73.79624289
Good,quercus palustris,pin oak,174 EAST 174 STREET,Bronx,40.84474706,-73.90883444
Good,ulmus pumila,siberian elm,1386 EAST 27 STREET,Brooklyn,40.617193,-73.94803861
Poor,liquidambar styraciflua,sweetgum,853 ELSMERE PLACE,Bronx,40.84265119,-73.88720106
Good,robinia pseudoacacia,black locust,902 ALBEMARLE ROAD,Brooklyn,40.64621829,-73.97043785
Fair,platanus x acerifolia,london planetree,122 RENO AVENUE,Staten Island,40.56641267,-74.11896489
Good,liquidambar styraciflua,sweetgum,168 FINLAY STREET,Staten Island,40.50343213,-74.2490307
Good,quercus palustris,pin oak,86-066 MIDLAND PARKWAY,Queens,40.71465496,-73.7832317
Fair,gleditsia triacanthos var. inermis,honeylocust,394 SHIRLEY AVENUE,Staten Island,40.53069906,-74.16913192
Good,pyrus calleryana,callery pear,141-002 CHERRY AVENUE,Queens,40.75458157,-73.82155381
Fair,parrotia persica,persian ironwood,51-024 BEACH CHANNEL DRIVE,Queens,40.59529632,-73.78250324
Good,styphnolobium japonicum,sophora,294 DEVOE STREET,Brooklyn,40.71380682,-73.93846197
Good,quercus palustris,pin oak,115 82 AVENUE,Queens,40.71141988,-73.83076202
Fair,quercus palustris,pin oak,88-058 53 AVENUE,Queens,40.73797007,-73.87392784
Good,platanus x acerifolia,london planetree,718 EAST TREMONT AVENUE,Bronx,40.84503972,-73.89056871
Good,prunus,cherry,272 NASSAU AVENUE,Brooklyn,40.72596925,-73.94010298
Good,quercus bicolor,swamp white oak,25-028 42 STREET,Queens,40.76653458,-73.91069763
Good,prunus,cherry,78 SOUTH 1 STREET,Brooklyn,40.71473007,-73.96408565
Good,gleditsia triacanthos var. inermis,honeylocust,1700 METROPOLITAN AVENUE,Bronx,40.84046845,-73.85436702
Good,cornus mas,cornelian cherry,28-050 46 STREET,Queens,40.76200176,-73.90996295
Fair,tilia cordata,littleleaf linden,110-052 MERRICK BOULEVARD,Queens,40.69465901,-73.78179626
Good,gymnocladus dioicus,kentucky coffeetree,247 WEST 109 STREET,Manhattan,40.80325785,-73.96629364
Good,zelkova serrata,japanese zelkova,111-050 76 ROAD,Queens,40.71652801,-73.83569754
Good,platanus x acerifolia,london planetree,531 EAST 20 STREET,Manhattan,40.73346807,-73.97646308
Good,platanus x acerifolia,london planetree,1027 5 AVENUE,Manhattan,40.7800323,-73.96164534
Good,acer rubrum,red maple,107-032 76 STREET,Queens,40.6757633,-73.86062413
Good,acer campestre,hedge maple,593 JACKSON AVENUE,Bronx,40.81429795,-73.90876922
Good,platanus x acerifolia,london planetree,133-026 LEFFERTS BOULEVARD,Queens,40.67159214,-73.82066518
Good,quercus palustris,pin oak,338 EAST 97 STREET,Manhattan,40.78360802,-73.94425709
Good,pyrus calleryana,callery pear,1043 LAMONT AVENUE,Staten Island,40.53528802,-74.2068341
Good,liquidambar styraciflua,sweetgum,15 FELTON STREET,Staten Island,40.62021639,-74.1695618
Good,acer platanoides,norway maple,1001 DR M L KING JR BOULEVARD,Bronx,40.8337118,-73.93117382
Good,ginkgo biloba,ginkgo,340 RIVERSIDE DRIVE,Manhattan,40.80219024,-73.96971196
Good,gleditsia triacanthos var. inermis,honeylocust,500 3 AVENUE,Manhattan,40.74532541,-73.97855937
Fair,fraxinus pennsylvanica,green ash,81 HALLISTER STREET,Staten Island,40.52591895,-74.2184672
Good,platanus x acerifolia,london planetree,713 EAST 17 STREET,Brooklyn,40.63322972,-73.96089542
Good,juniperus virginiana,eastern redcedar,214 BEACH 102 STREET,Queens,40.58347957,-73.8230018
Good,pyrus calleryana,callery pear,66 GAYNOR STREET,Staten Island,40.52541403,-74.2199723
Good,pyrus calleryana,callery pear,373 CORBIN AVENUE,Staten Island,40.56441364,-74.15040997
Good,quercus palustris,pin oak,207-002 HILLSIDE AVENUE,Queens,40.72167677,-73.75778034
Good,platanus x acerifolia,london planetree,40-007 VERNON BOULEVARD,Queens,40.75640164,-73.9449416
Good,tilia cordata,littleleaf linden,500 19 STREET,Brooklyn,40.65613912,-73.98190328
Good,tilia tomentosa,silver linden,104 PIERREPONT STREET,Brooklyn,40.69530759,-73.99327292
Good,acer platanoides 'crimson king',crimson king maple,1695 ARDEN AVENUE,Staten Island,40.53014895,-74.1618156
Good,quercus palustris,pin oak,704 ELTON STREET,Brooklyn,40.66568345,-73.88076811
Good,tilia cordata,littleleaf linden,176-015 133 ROAD,Queens,40.67647355,-73.76470148
Fair,zelkova serrata,japanese zelkova,735 WEST END AVENUE,Manhattan,40.79475134,-73.97398423
Good,gleditsia triacanthos var. inermis,honeylocust,97-029 148 STREET,Queens,40.69735975,-73.80377686
Good,platanus x acerifolia,london planetree,50-040 248 STREET,Queens,40.76226964,-73.73614866
Fair,platanus x acerifolia,london planetree,176-045 KILDARE ROAD,Queens,40.72219453,-73.78929913
Good,quercus bicolor,swamp white oak,744 DUMONT AVENUE,Brooklyn,40.66672546,-73.89112033
Good,ulmus americana,american elm,240-035 26 AVENUE,Queens,40.78147229,-73.75011119
Good,acer saccharinum,silver maple,403 ELVERTON AVENUE,Staten Island,40.5596603,-74.15607749
Good,liquidambar styraciflua,sweetgum,395 STOBE AVENUE,Staten Island,40.57914889,-74.09352161
Good,tilia americana,american linden,146-019 23 AVENUE,Queens,40.77844915,-73.8205017
Fair,acer platanoides,norway maple,676 UNION STREET,Brooklyn,40.67661617,-73.98117049
Good,platanus x acerifolia,london planetree,86 SUNSET AVENUE,Staten Island,40.60036007,-74.13373689
Good,quercus alba,white oak,104-029 202 STREET,Queens,40.70836717,-73.75651084
Good,ginkgo biloba,ginkgo,246 EAST 77 STREET,Manhattan,40.77225993,-73.95672874
Good,acer rubrum,red maple,142 COLLYER AVENUE,Staten Island,40.53462888,-74.18712509
Good,liquidambar styraciflua,sweetgum,253 CORONA AVENUE,Staten Island,40.56368735,-74.14197234
Good,acer saccharinum,silver maple,3708 KINGS HIGHWAY,Brooklyn,40.62149906,-73.93878598
Good,platanus x acerifolia,london planetree,6000 BELT PARKWAY,Brooklyn,40.59441369,-73.90537287
Good,liquidambar styraciflua,sweetgum,220-004 STRONGHURST AVENUE,Queens,40.73180434,-73.74633467
Good,tilia cordata,littleleaf linden,1892 ARTHUR AVENUE,Bronx,40.84541582,-73.89329687
Good,quercus robur,english oak,47-030 217 STREET,Queens,40.75678507,-73.7636444
Good,gleditsia triacanthos var. inermis,honeylocust,225 WEST 106 STREET,Manhattan,40.80121978,-73.96735642
Good,platanus x acerifolia,london planetree,1015 EAST 218 STREET,Bronx,40.8800787,-73.85428036
Good,quercus palustris,pin oak,221 WARD AVENUE,Staten Island,40.63117594,-74.08440306
Good,quercus bicolor,swamp white oak,155-024 LAHN STREET,Queens,40.66521708,-73.83819554
Good,fraxinus,ash,33-030 213 STREET,Queens,40.77099088,-73.77526289
Good,ginkgo biloba,ginkgo,218 MAUJER STREET,Brooklyn,40.71110329,-73.94092826
Good,prunus,cherry,182-001 TUDOR ROAD,Queens,40.72413749,-73.78593247
Good,tilia tomentosa,silver linden,151 LEONARD STREET,Brooklyn,40.70893083,-73.94691289
Good,acer ginnala,amur maple,744 ESSEX STREET,Brooklyn,40.66552898,-73.87878465
Fair,acer saccharinum,silver maple,9110 AVENUE M,Brooklyn,40.6343406,-73.89750701
Good,platanus x acerifolia,london planetree,88 MILTON STREET,Brooklyn,40.72915078,-73.95707686
Good,gleditsia triacanthos var. inermis,honeylocust,175 RIVERDALE AVENUE,Brooklyn,40.66083545,-73.91004718
Good,quercus rubra,northern red oak,2004 EAST 57 STREET,Brooklyn,40.61438568,-73.91915803
Fair,platanus x acerifolia,london planetree,1335 EAST 80 STREET,Brooklyn,40.62935163,-73.90381133
Good,platanus x acerifolia,london planetree,324 TOMPKINS AVENUE,Brooklyn,40.68662002,-73.94463756
Good,gleditsia triacanthos var. inermis,honeylocust,113-21 ROCKAWAY BOULEVARD,Queens,40.67728929,-73.82457877
Good,quercus palustris,pin oak,2703 BAINBRIDGE AVENUE,Bronx,40.86585136,-73.89121282
Good,gleditsia triacanthos var. inermis,honeylocust,713 EAST 86 STREET,Brooklyn,40.63965537,-73.91024298
Good,platanus x acerifolia,london planetree,274 SHERADEN AVENUE,Staten Island,40.60419549,-74.13781621
Good,tilia cordata,littleleaf linden,315 WEST 74 STREET,Manhattan,40.78149203,-73.98453087
Good,fraxinus americana,white ash,1230 EAST 57 STREET,Brooklyn,40.62319428,-73.92060917
Good,pinus,pine,32-016 WEST DRIVE,Queens,40.77685196,-73.7529766
Good,quercus robur,english oak,43-040 PARSONS BOULEVARD,Queens,40.75630272,-73.816798
Good,liquidambar styraciflua,sweetgum,53 HIGHLAND ROAD,Staten Island,40.55056943,-74.14380032
Good,acer platanoides,norway maple,75-004 198 STREET,Queens,40.73350392,-73.77361661
Good,maackia amurensis,amur maackia,576 86 STREET,Brooklyn,40.62001891,-74.0239734
Good,pyrus calleryana,callery pear,1415 CROTONA AVENUE,Bronx,40.83414807,-73.8981937
Fair,fraxinus pennsylvanica,green ash,83 DEWEY AVENUE,Staten Island,40.55658983,-74.14634709
Fair,acer rubrum,red maple,9815 DITMAS AVENUE,Brooklyn,40.6525154,-73.90803058
Good,fraxinus pennsylvanica,green ash,71-038 SUTTON PLACE,Queens,40.7290277,-73.80834601
Good,acer,maple,62-020 DRY HARBOR ROAD,Queens,40.72475449,-73.87323509
Good,gleditsia triacanthos var. inermis,honeylocust,443 GLENMORE AVENUE,Brooklyn,40.67358303,-73.89362484
Good,fraxinus pennsylvanica,green ash,83 CROMWELL AVENUE,Staten Island,40.59134067,-74.0984541
Good,gleditsia triacanthos var. inermis,honeylocust,91 HURON STREET,Brooklyn,40.73277285,-73.9578714
Good,liquidambar styraciflua,sweetgum,241-004 ALAMEDA AVENUE,Queens,40.76389411,-73.74416694
Fair,acer rubrum,red maple,295 BARTLETT AVENUE,Staten Island,40.55536414,-74.1675795
Good,tilia americana,american linden,205 DE GRAW STREET,Brooklyn,40.6847329,-73.99814351
Good,pyrus calleryana,callery pear,81 WHITMAN AVENUE,Staten Island,40.54500926,-74.14387818
Good,platanus x acerifolia,london planetree,2362 WEST 13 STREET,Brooklyn,40.58980416,-73.98300126
Fair,quercus palustris,pin oak,367 YETMAN AVENUE,Staten Island,40.50766208,-74.24270574
Good,quercus palustris,pin oak,518 8 STREET,Brooklyn,40.66587796,-73.97784925
Fair,acer saccharinum,silver maple,88-048 69 ROAD,Queens,40.71053297,-73.85471539
Good,platanus x acerifolia,london planetree,784 COLUMBUS AVENUE,Manhattan,40.79398974,-73.96789581
Good,acer rubrum,red maple,2402 GRAND AVENUE,Bronx,40.86191797,-73.90384515
Good,platanus x acerifolia,london planetree,522 STRATFORD ROAD,Brooklyn,40.63561536,-73.96724786
Good,styphnolobium japonicum,sophora,349 SUYDAM STREET,Brooklyn,40.7041963,-73.92175589
Good,maackia amurensis,amur maackia,67-045 164 STREET,Queens,40.7335326,-73.80479032
Poor,syringa reticulata,japanese tree lilac,841 WILLIAMS AVENUE,Brooklyn,40.65468742,-73.89494566
Good,platanus x acerifolia,london planetree,57-003 EAST HAMPTON BOULEVARD,Queens,40.75485979,-73.74805187
Fair,gleditsia triacanthos var. inermis,honeylocust,151 WOOLLEY AVENUE,Staten Island,40.62044986,-74.13865331
Good,quercus palustris,pin oak,1 LEDYARD PLACE,Staten Island,40.59627181,-74.0826617
Good,gymnocladus dioicus,kentucky coffeetree,106-001 69 AVENUE,Queens,40.72478446,-73.84624992
Good,acer platanoides,norway maple,149-062 SANFORD AVENUE,Queens,40.76085865,-73.81299186
Good,gleditsia triacanthos var. inermis,honeylocust,525 ST MARKS AVENUE,Brooklyn,40.67611982,-73.95670008
Good,platanus x acerifolia,london planetree,417 ST PAULS AVENUE,Staten Island,40.62817081,-74.08333384
Poor,quercus palustris,pin oak,296 COLON AVENUE,Staten Island,40.55668557,-74.15695738
Good,gleditsia triacanthos var. inermis,honeylocust,2245 OCEAN PARKWAY,Brooklyn,40.59460014,-73.96463283
Good,platanus x acerifolia,london planetree,143-027 ROSE AVENUE,Queens,40.74813039,-73.81072034
Good,platanus x acerifolia,london planetree,71-030 COOPER AVENUE,Queens,40.70267703,-73.87918568
Good,gleditsia triacanthos var. inermis,honeylocust,608 PENNSYLVANIA AVENUE,Brooklyn,40.66231475,-73.89353158
Good,platanus x acerifolia,london planetree,272 STUYVESANT AVENUE,Brooklyn,40.68567868,-73.93267153
Fair,platanus x acerifolia,london planetree,126 UNCAS AVENUE,Staten Island,40.52778085,-74.20673896
Fair,gleditsia triacanthos var. inermis,honeylocust,72-015 65 PLACE,Queens,40.70076492,-73.88872797
Fair,fraxinus pennsylvanica,green ash,221 12 STREET,Brooklyn,40.6687029,-73.99045206
Fair,acer platanoides,norway maple,301 WEST 259 STREET,Bronx,40.90667661,-73.89967508
Good,platanus x acerifolia,london planetree,8070 HARBOR VIEW TERRACE,Brooklyn,40.62879674,-74.0387684
Good,aesculus hippocastanum,horse chestnut,194 WASHINGTON PARK,Brooklyn,40.69068312,-73.97344156
Fair,acer saccharinum,silver maple,196-016 104 AVENUE,Queens,40.70801762,-73.76171586
Good,gleditsia triacanthos var. inermis,honeylocust,3769 WILLETT AVENUE,Bronx,40.88376936,-73.86443847
Poor,amelanchier,serviceberry,1220 SPOFFORD AVENUE,Bronx,40.81398688,-73.88983156
Good,cercis canadensis,eastern redbud,164-016 77 AVENUE,Queens,40.72438808,-73.80406993
Good,gleditsia triacanthos var. inermis,honeylocust,95-012 150 STREET,Queens,40.69932511,-73.80286568
Good,quercus palustris,pin oak,1055 FLATBUSH AVENUE,Brooklyn,40.64509087,-73.95791105
Good,fraxinus pennsylvanica,green ash,253-023 149 AVENUE,Queens,40.65310101,-73.73602004
Good,ginkgo biloba,ginkgo,1466 EAST 29 STREET,Brooklyn,40.61504945,-73.94560639
Good,prunus,cherry,52-007 OVERBROOK STREET,Queens,40.76040596,-73.73701404
Good,aesculus x carnea,red horse chestnut,399 LIVERMORE AVENUE,Staten Island,40.61387352,-74.13947861
Fair,quercus palustris,pin oak,40-002 28 STREET,Queens,40.75249122,-73.93648457
Good,tilia cordata,littleleaf linden,155-004 81 STREET,Queens,40.66396558,-73.85281838
Good,acer saccharinum,silver maple,101 RIDGECREST AVENUE,Staten Island,40.53654765,-74.1563666
Good,acer platanoides 'crimson king',crimson king maple,1940 EAST 38 STREET,Brooklyn,40.61152745,-73.93093231
Good,pyrus calleryana,callery pear,146-009 227 STREET,Queens,40.65927407,-73.75423606
Good,zelkova serrata,japanese zelkova,2840 WEST 12 STREET,Brooklyn,40.57841584,-73.97973049
